origin,h,y_true,y_pred,abs_err,squared_err,model
2017-01-01,1,92.0,85.17,6.83,46.69,LSTM
2017-01-01,2,92.0,84.61,7.39,54.66,LSTM
2017-01-01,3,92.0,85.87,6.13,37.58,LSTM
2017-01-01,4,90.0,85.77,4.23,17.93,LSTM
2017-01-15,1,92.0,87.66,4.34,18.83,LSTM
2017-01-15,2,90.0,87.57,2.43,5.91,LSTM
2017-01-15,3,91.0,88.07,2.93,8.58,LSTM
2017-01-15,4,93.0,88.76,4.24,17.95,LSTM
2017-01-29,1,91.0,90.41,0.59,0.35,LSTM
2017-01-29,2,93.0,89.72,3.28,10.79,LSTM
2017-01-29,3,93.0,91.37,1.63,2.66,LSTM
2017-01-29,4,94.0,89.64,4.36,19.05,LSTM
2017-02-12,1,93.0,89.93,3.07,9.41,LSTM
2017-02-12,2,94.0,91.87,2.13,4.54,LSTM
2017-02-12,3,96.0,90.97,5.03,25.33,LSTM
2017-02-12,4,96.0,91.14,4.86,23.58,LSTM
2017-02-26,1,96.0,90.91,5.09,25.91,LSTM
2017-02-26,2,96.0,91.56,4.44,19.7,LSTM
2017-02-26,3,96.0,91.15,4.85,23.48,LSTM
2017-02-26,4,97.0,91.51,5.49,30.11,LSTM
2017-03-12,1,96.0,93.53,2.47,6.11,LSTM
2017-03-12,2,97.0,94.66,2.34,5.49,LSTM
2017-03-12,3,96.0,93.6,2.4,5.75,LSTM
2017-03-12,4,96.0,93.91,2.09,4.37,LSTM
2017-03-26,1,96.0,95.52,0.48,0.23,LSTM
2017-03-26,2,96.0,95.29,0.71,0.5,LSTM
2017-03-26,3,95.0,95.72,0.72,0.52,LSTM
2017-03-26,4,93.0,95.77,2.77,7.69,LSTM
2017-04-09,1,95.0,96.11,1.11,1.24,LSTM
2017-04-09,2,93.0,96.04,3.04,9.23,LSTM
2017-04-09,3,90.0,97.21,7.21,51.93,LSTM
2017-04-09,4,87.0,96.88,9.88,97.69,LSTM
2017-04-23,1,90.0,96.68,6.68,44.67,LSTM
2017-04-23,2,87.0,96.53,9.53,90.91,LSTM
2017-04-23,3,83.0,98.05,15.05,226.59,LSTM
2017-04-23,4,81.0,97.12,16.12,259.82,LSTM
2017-05-07,1,83.0,93.72,10.72,114.89,LSTM
2017-05-07,2,81.0,95.29,14.29,204.16,LSTM
2017-05-07,3,80.0,95.65,15.65,244.98,LSTM
2017-05-07,4,78.0,95.3,17.3,299.14,LSTM
2017-05-21,1,80.0,90.84,10.84,117.45,LSTM
2017-05-21,2,78.0,89.77,11.77,138.58,LSTM
2017-05-21,3,82.0,91.08,9.08,82.41,LSTM
2017-05-21,4,87.0,90.83,3.83,14.7,LSTM
2017-06-04,1,82.0,83.64,1.64,2.7,LSTM
2017-06-04,2,87.0,84.31,2.69,7.22,LSTM
2017-06-04,3,87.0,82.56,4.44,19.75,LSTM
2017-06-04,4,86.0,81.92,4.08,16.68,LSTM
2017-06-18,1,87.0,82.32,4.68,21.89,LSTM
2017-06-18,2,86.0,83.12,2.88,8.28,LSTM
2017-06-18,3,85.0,84.0,1.0,1.0,LSTM
2017-06-18,4,85.0,85.37,0.37,0.14,LSTM
2017-07-02,1,85.0,85.5,0.5,0.25,LSTM
2017-07-02,2,85.0,86.05,1.05,1.1,LSTM
2017-07-02,3,84.0,86.5,2.5,6.26,LSTM
2017-07-02,4,84.0,88.32,4.32,18.7,LSTM
2017-07-16,1,84.0,86.78,2.78,7.75,LSTM
2017-07-16,2,84.0,84.79,0.79,0.62,LSTM
2017-07-16,3,85.0,85.33,0.33,0.11,LSTM
2017-07-16,4,87.0,87.97,0.97,0.95,LSTM
2017-07-30,1,85.0,85.06,0.06,0.0,LSTM
2017-07-30,2,87.0,85.13,1.87,3.5,LSTM
2017-07-30,3,88.0,84.94,3.06,9.36,LSTM
2017-07-30,4,90.0,85.6,4.4,19.35,LSTM
2017-08-13,1,88.0,85.05,2.95,8.7,LSTM
2017-08-13,2,90.0,86.3,3.7,13.66,LSTM
2017-08-13,3,90.0,85.83,4.17,17.37,LSTM
2017-08-13,4,89.0,86.32,2.68,7.17,LSTM
2017-08-27,1,90.0,86.68,3.32,11.0,LSTM
2017-08-27,2,89.0,86.67,2.33,5.42,LSTM
2017-08-27,3,90.0,86.64,3.36,11.31,LSTM
2017-08-27,4,90.0,86.82,3.18,10.09,LSTM
2017-09-10,1,90.0,87.17,2.83,8.02,LSTM
2017-09-10,2,90.0,86.85,3.15,9.91,LSTM
2017-09-10,3,90.0,86.72,3.28,10.76,LSTM
2017-09-10,4,92.0,87.3,4.7,22.12,LSTM
2017-09-24,1,90.0,87.24,2.76,7.61,LSTM
2017-09-24,2,92.0,85.66,6.34,40.14,LSTM
2017-09-24,3,93.0,86.11,6.89,47.51,LSTM
2017-09-24,4,94.0,87.49,6.51,42.44,LSTM
2017-10-08,1,93.0,85.45,7.55,56.95,LSTM
2017-10-08,2,94.0,88.25,5.75,33.08,LSTM
2017-10-08,3,95.0,88.68,6.32,39.88,LSTM
2017-10-08,4,95.0,88.47,6.53,42.6,LSTM
2017-10-22,1,95.0,89.03,5.97,35.69,LSTM
2017-10-22,2,95.0,89.18,5.82,33.83,LSTM
2017-10-22,3,95.0,86.09,8.91,79.46,LSTM
2017-10-22,4,94.0,86.95,7.05,49.67,LSTM
2017-11-05,1,95.0,90.11,4.89,23.86,LSTM
2017-11-05,2,94.0,90.48,3.52,12.41,LSTM
2017-11-05,3,94.0,90.18,3.82,14.57,LSTM
2017-11-05,4,95.0,90.28,4.72,22.32,LSTM
2017-11-19,1,94.0,93.36,0.64,0.42,LSTM
2017-11-19,2,95.0,93.18,1.82,3.33,LSTM
2017-11-19,3,94.0,91.07,2.93,8.56,LSTM
2017-11-19,4,94.0,92.67,1.33,1.76,LSTM
2017-12-03,1,94.0,94.28,0.28,0.08,LSTM
2017-12-03,2,94.0,93.76,0.24,0.06,LSTM
2017-12-03,3,95.0,92.87,2.13,4.54,LSTM
2017-12-03,4,95.0,91.98,3.02,9.1,LSTM
2017-12-17,1,95.0,94.24,0.76,0.58,LSTM
2017-12-17,2,95.0,93.22,1.78,3.16,LSTM
2017-12-17,3,96.0,94.23,1.77,3.13,LSTM
2017-12-17,4,96.0,94.88,1.12,1.25,LSTM
2017-12-31,1,96.0,95.88,0.12,0.02,LSTM
2017-12-31,2,96.0,95.71,0.29,0.08,LSTM
2017-12-31,3,96.0,96.8,0.8,0.64,LSTM
2017-12-31,4,97.0,96.72,0.28,0.08,LSTM
2018-01-14,1,96.0,96.56,0.56,0.31,LSTM
2018-01-14,2,97.0,96.89,0.11,0.01,LSTM
2018-01-14,3,98.0,96.92,1.08,1.18,LSTM
2018-01-14,4,97.0,96.05,0.95,0.91,LSTM
2018-01-28,1,98.0,97.13,0.87,0.75,LSTM
2018-01-28,2,97.0,96.56,0.44,0.19,LSTM
2018-01-28,3,97.0,96.62,0.38,0.14,LSTM
2018-01-28,4,98.0,96.77,1.23,1.51,LSTM
2018-02-11,1,97.0,96.18,0.82,0.68,LSTM
2018-02-11,2,98.0,97.29,0.71,0.5,LSTM
2018-02-11,3,97.0,97.62,0.62,0.38,LSTM
2018-02-11,4,95.0,97.96,2.96,8.75,LSTM
2018-02-25,1,97.0,97.55,0.55,0.3,LSTM
2018-02-25,2,95.0,98.6,3.6,12.94,LSTM
2018-02-25,3,97.0,98.11,1.11,1.24,LSTM
2018-02-25,4,97.0,98.24,1.24,1.55,LSTM
2018-03-11,1,97.0,98.04,1.04,1.07,LSTM
2018-03-11,2,97.0,97.96,0.96,0.93,LSTM
2018-03-11,3,97.0,98.4,1.4,1.97,LSTM
2018-03-11,4,97.0,98.15,1.15,1.32,LSTM
2018-03-25,1,97.0,97.74,0.74,0.54,LSTM
2018-03-25,2,97.0,98.33,1.33,1.78,LSTM
2018-03-25,3,97.0,99.75,2.75,7.58,LSTM
2018-03-25,4,97.0,98.17,1.17,1.37,LSTM
2018-04-08,1,97.0,98.9,1.9,3.61,LSTM
2018-04-08,2,97.0,98.8,1.8,3.25,LSTM
2018-04-08,3,97.0,98.61,1.61,2.6,LSTM
2018-04-08,4,96.0,98.53,2.53,6.39,LSTM
2018-04-22,1,97.0,97.67,0.67,0.45,LSTM
2018-04-22,2,96.0,98.12,2.12,4.5,LSTM
2018-04-22,3,96.0,97.65,1.65,2.71,LSTM
2018-04-22,4,94.0,98.28,4.28,18.36,LSTM
2018-05-06,1,96.0,98.0,2.0,3.99,LSTM
2018-05-06,2,94.0,97.4,3.4,11.57,LSTM
2018-05-06,3,92.0,97.26,5.26,27.63,LSTM
2018-05-06,4,88.0,97.64,9.64,92.97,LSTM
2018-05-20,1,92.0,96.36,4.36,19.0,LSTM
