origin,h,y_true,y_pred,abs_err,squared_err,model
2017-01-01,1,90.0,89.65,0.35,0.12,ARIMA
2017-01-01,2,90.0,89.94,0.06,0.0,ARIMA
2017-01-01,3,90.0,89.99,0.01,0.0,ARIMA
2017-01-01,4,89.0,90.0,1.0,0.99,ARIMA
2017-01-15,1,90.0,89.89,0.11,0.01,ARIMA
2017-01-15,2,89.0,89.88,0.88,0.77,ARIMA
2017-01-15,3,88.0,89.88,1.88,3.52,ARIMA
2017-01-15,4,90.0,89.88,0.12,0.02,ARIMA
2017-01-29,1,88.0,88.57,0.57,0.32,ARIMA
2017-01-29,2,90.0,88.5,1.5,2.24,ARIMA
2017-01-29,3,91.0,88.49,2.51,6.28,ARIMA
2017-01-29,4,92.0,88.49,3.51,12.3,ARIMA
2017-02-12,1,91.0,90.93,0.07,0.0,ARIMA
2017-02-12,2,92.0,91.02,0.98,0.96,ARIMA
2017-02-12,3,96.0,91.03,4.97,24.7,ARIMA
2017-02-12,4,97.0,91.03,5.97,35.63,ARIMA
2017-02-26,1,96.0,92.38,3.62,13.13,ARIMA
2017-02-26,2,97.0,92.43,4.57,20.9,ARIMA
2017-02-26,3,97.0,92.43,4.57,20.84,ARIMA
2017-02-26,4,97.0,92.44,4.56,20.83,ARIMA
2017-03-12,1,97.0,96.89,0.11,0.01,ARIMA
2017-03-12,2,97.0,96.88,0.12,0.01,ARIMA
2017-03-12,3,97.0,96.88,0.12,0.01,ARIMA
2017-03-12,4,97.0,96.88,0.12,0.01,ARIMA
2017-03-26,1,97.0,96.99,0.01,0.0,ARIMA
2017-03-26,2,97.0,96.99,0.01,0.0,ARIMA
2017-03-26,3,95.0,96.99,1.99,3.96,ARIMA
2017-03-26,4,93.0,96.99,3.99,15.91,ARIMA
2017-04-09,1,95.0,97.0,2.0,4.0,ARIMA
2017-04-09,2,93.0,97.0,4.0,15.99,ARIMA
2017-04-09,3,91.0,97.0,6.0,35.99,ARIMA
2017-04-09,4,89.0,97.0,8.0,63.98,ARIMA
2017-04-23,1,91.0,92.41,1.41,2.0,ARIMA
2017-04-23,2,89.0,92.35,3.35,11.23,ARIMA
2017-04-23,3,87.0,92.35,5.35,28.57,ARIMA
2017-04-23,4,85.0,92.34,7.34,53.94,ARIMA
2017-05-07,1,87.0,88.27,1.27,1.62,ARIMA
2017-05-07,2,85.0,88.13,3.13,9.77,ARIMA
2017-05-07,3,83.0,88.09,5.09,25.96,ARIMA
2017-05-07,4,81.0,88.09,7.09,50.25,ARIMA
2017-05-21,1,83.0,84.2,1.2,1.45,ARIMA
2017-05-21,2,81.0,83.97,2.97,8.8,ARIMA
2017-05-21,3,83.0,83.9,0.9,0.81,ARIMA
2017-05-21,4,87.0,83.88,3.12,9.75,ARIMA
2017-06-04,1,83.0,80.13,2.87,8.21,ARIMA
2017-06-04,2,87.0,79.81,7.19,51.75,ARIMA
2017-06-04,3,85.0,79.68,5.32,28.28,ARIMA
2017-06-04,4,83.0,79.64,3.36,11.32,ARIMA
2017-06-18,1,85.0,88.66,3.66,13.37,ARIMA
2017-06-18,2,83.0,89.0,6.0,35.96,ARIMA
2017-06-18,3,83.0,89.07,6.07,36.81,ARIMA
2017-06-18,4,81.0,89.08,8.08,65.31,ARIMA
2017-07-02,1,83.0,82.76,0.24,0.06,ARIMA
2017-07-02,2,81.0,82.75,1.75,3.06,ARIMA
2017-07-02,3,79.0,82.75,3.75,14.06,ARIMA
2017-07-02,4,78.0,82.75,4.75,22.57,ARIMA
2017-07-16,1,79.0,80.02,1.02,1.03,ARIMA
2017-07-16,2,78.0,80.04,2.04,4.15,ARIMA
2017-07-16,3,78.0,80.04,2.04,4.15,ARIMA
2017-07-16,4,79.0,80.04,1.04,1.08,ARIMA
2017-07-30,1,78.0,77.75,0.25,0.06,ARIMA
2017-07-30,2,79.0,77.75,1.25,1.57,ARIMA
2017-07-30,3,80.0,77.75,2.25,5.08,ARIMA
2017-07-30,4,81.0,77.75,3.25,10.59,ARIMA
2017-08-13,1,80.0,79.42,0.58,0.33,ARIMA
2017-08-13,2,81.0,79.42,1.58,2.48,ARIMA
2017-08-13,3,80.0,79.42,0.58,0.33,ARIMA
2017-08-13,4,79.0,79.42,0.42,0.18,ARIMA
2017-08-27,1,80.0,81.35,1.35,1.83,ARIMA
2017-08-27,2,79.0,81.36,2.36,5.56,ARIMA
2017-08-27,3,80.0,81.36,1.36,1.84,ARIMA
2017-08-27,4,79.0,81.36,2.36,5.56,ARIMA
2017-09-10,1,80.0,78.83,1.17,1.37,ARIMA
2017-09-10,2,79.0,78.83,0.17,0.03,ARIMA
2017-09-10,3,82.0,78.83,3.17,10.05,ARIMA
2017-09-10,4,85.0,78.83,6.17,38.08,ARIMA
2017-09-24,1,82.0,78.24,3.76,14.11,ARIMA
2017-09-24,2,85.0,78.27,6.73,45.31,ARIMA
2017-09-24,3,85.0,78.27,6.73,45.32,ARIMA
2017-09-24,4,87.0,78.27,8.73,76.25,ARIMA
2017-10-08,1,85.0,85.52,0.52,0.27,ARIMA
2017-10-08,2,87.0,85.51,1.49,2.23,ARIMA
2017-10-08,3,88.0,85.51,2.49,6.21,ARIMA
2017-10-08,4,87.0,85.51,1.49,2.22,ARIMA
2017-10-22,1,88.0,88.04,0.04,0.0,ARIMA
2017-10-22,2,87.0,87.93,0.93,0.87,ARIMA
2017-10-22,3,86.0,87.95,1.95,3.78,ARIMA
2017-10-22,4,85.0,87.94,2.94,8.67,ARIMA
2017-11-05,1,86.0,86.62,0.62,0.38,ARIMA
2017-11-05,2,85.0,86.66,1.66,2.76,ARIMA
2017-11-05,3,85.0,86.66,1.66,2.74,ARIMA
2017-11-05,4,85.0,86.66,1.66,2.75,ARIMA
2017-11-19,1,85.0,84.67,0.33,0.11,ARIMA
2017-11-19,2,85.0,84.71,0.29,0.09,ARIMA
2017-11-19,3,85.0,84.7,0.3,0.09,ARIMA
2017-11-19,4,85.0,84.7,0.3,0.09,ARIMA
2017-12-03,1,85.0,84.89,0.11,0.01,ARIMA
2017-12-03,2,85.0,84.9,0.1,0.01,ARIMA
2017-12-03,3,84.0,84.9,0.9,0.82,ARIMA
2017-12-03,4,84.0,84.9,0.9,0.82,ARIMA
2017-12-17,1,84.0,84.97,0.97,0.93,ARIMA
2017-12-17,2,84.0,84.97,0.97,0.94,ARIMA
2017-12-17,3,85.0,84.97,0.03,0.0,ARIMA
2017-12-17,4,86.0,84.97,1.03,1.06,ARIMA
2017-12-31,1,85.0,84.26,0.74,0.55,ARIMA
2017-12-31,2,86.0,84.23,1.77,3.15,ARIMA
2017-12-31,3,86.0,84.23,1.77,3.14,ARIMA
2017-12-31,4,87.0,84.23,2.77,7.68,ARIMA
2018-01-14,1,86.0,86.28,0.28,0.08,ARIMA
2018-01-14,2,87.0,86.25,0.75,0.56,ARIMA
2018-01-14,3,87.0,86.26,0.74,0.55,ARIMA
2018-01-14,4,87.0,86.26,0.74,0.55,ARIMA
2018-01-28,1,87.0,87.56,0.56,0.31,ARIMA
2018-01-28,2,87.0,87.5,0.5,0.25,ARIMA
2018-01-28,3,87.0,87.5,0.5,0.25,ARIMA
2018-01-28,4,87.0,87.5,0.5,0.25,ARIMA
2018-02-11,1,87.0,87.18,0.18,0.03,ARIMA
2018-02-11,2,87.0,87.16,0.16,0.02,ARIMA
2018-02-11,3,87.0,87.16,0.16,0.03,ARIMA
2018-02-11,4,87.0,87.16,0.16,0.03,ARIMA
2018-02-25,1,87.0,87.05,0.05,0.0,ARIMA
2018-02-25,2,87.0,87.05,0.05,0.0,ARIMA
2018-02-25,3,90.0,87.05,2.95,8.71,ARIMA
2018-02-25,4,91.0,87.05,3.95,15.61,ARIMA
2018-03-11,1,90.0,87.02,2.98,8.9,ARIMA
2018-03-11,2,91.0,87.02,3.98,15.88,ARIMA
2018-03-11,3,95.0,87.02,7.98,63.75,ARIMA
2018-03-11,4,95.0,87.02,7.98,63.75,ARIMA
2018-03-25,1,95.0,90.68,4.32,18.7,ARIMA
2018-03-25,2,95.0,90.71,4.29,18.37,ARIMA
2018-03-25,3,96.0,90.71,5.29,27.99,ARIMA
2018-03-25,4,96.0,90.71,5.29,27.98,ARIMA
2018-04-08,1,96.0,94.47,1.53,2.35,ARIMA
2018-04-08,2,96.0,94.41,1.59,2.53,ARIMA
2018-04-08,3,95.0,94.4,0.6,0.36,ARIMA
2018-04-08,4,93.0,94.4,1.4,1.97,ARIMA
2018-04-22,1,95.0,95.95,0.95,0.9,ARIMA
2018-04-22,2,93.0,95.93,2.93,8.61,ARIMA
2018-04-22,3,92.0,95.93,3.93,15.45,ARIMA
2018-04-22,4,91.0,95.93,4.93,24.3,ARIMA
2018-05-06,1,92.0,92.24,0.24,0.06,ARIMA
2018-05-06,2,91.0,92.03,1.03,1.07,ARIMA
2018-05-06,3,89.0,91.98,2.98,8.87,ARIMA
2018-05-06,4,87.0,91.96,4.96,24.64,ARIMA
2018-05-20,1,89.0,90.63,1.63,2.65,ARIMA
2018-05-20,2,87.0,90.52,3.52,12.38,ARIMA
2018-05-20,3,85.0,90.49,5.49,30.1,ARIMA
2018-05-20,4,82.0,90.48,8.48,71.86,ARIMA
2018-06-03,1,85.0,86.24,1.24,1.54,ARIMA
2018-06-03,2,82.0,86.0,4.0,15.98,ARIMA
2018-06-03,3,81.0,85.92,4.92,24.2,ARIMA
2018-06-03,4,79.0,85.89,6.89,47.54,ARIMA
2018-06-17,1,81.0,80.74,0.26,0.07,ARIMA
2018-06-17,2,79.0,80.23,1.23,1.52,ARIMA
2018-06-17,3,76.0,80.03,4.03,16.25,ARIMA
2018-06-17,4,73.0,79.95,6.95,48.3,ARIMA
2018-07-01,1,76.0,78.15,2.15,4.61,ARIMA
2018-07-01,2,73.0,77.76,4.76,22.7,ARIMA
2018-07-01,3,72.0,77.59,5.59,31.28,ARIMA
2018-07-01,4,69.0,77.52,8.52,72.52,ARIMA
2018-07-15,1,72.0,71.61,0.39,0.15,ARIMA
2018-07-15,2,69.0,70.94,1.94,3.75,ARIMA
2018-07-15,3,68.0,70.6,2.6,6.78,ARIMA
2018-07-15,4,67.0,70.44,3.44,11.84,ARIMA
2018-07-29,1,68.0,67.65,0.35,0.12,ARIMA
2018-07-29,2,67.0,66.91,0.09,0.01,ARIMA
2018-07-29,3,66.0,66.5,0.5,0.25,ARIMA
2018-07-29,4,65.0,66.28,1.28,1.64,ARIMA
2018-08-12,1,66.0,66.5,0.5,0.25,ARIMA
2018-08-12,2,65.0,66.22,1.22,1.49,ARIMA
2018-08-12,3,63.0,66.07,3.07,9.42,ARIMA
2018-08-12,4,61.0,65.98,4.98,24.85,ARIMA
2018-08-26,1,63.0,64.51,1.51,2.27,ARIMA
2018-08-26,2,61.0,64.23,3.23,10.45,ARIMA
2018-08-26,3,62.0,64.08,2.08,4.31,ARIMA
2018-08-26,4,64.0,63.99,0.01,0.0,ARIMA
2018-09-09,1,62.0,60.0,2.0,3.99,ARIMA
2018-09-09,2,64.0,59.43,4.57,20.89,ARIMA
2018-09-09,3,65.0,59.1,5.9,34.83,ARIMA
2018-09-09,4,64.0,58.91,5.09,25.93,ARIMA
2018-09-23,1,65.0,64.91,0.09,0.01,ARIMA
2018-09-23,2,64.0,65.38,1.38,1.91,ARIMA
2018-09-23,3,65.0,65.63,0.63,0.4,ARIMA
2018-09-23,4,67.0,65.76,1.24,1.54,ARIMA
2018-10-07,1,65.0,63.59,1.41,2.0,ARIMA
2018-10-07,2,67.0,63.38,3.62,13.1,ARIMA
2018-10-07,3,67.0,63.28,3.72,13.86,ARIMA
2018-10-07,4,65.0,63.23,1.77,3.15,ARIMA
2018-10-21,1,67.0,67.91,0.91,0.83,ARIMA
2018-10-21,2,65.0,68.37,3.37,11.33,ARIMA
2018-10-21,3,67.0,68.6,1.6,2.55,ARIMA
2018-10-21,4,73.0,68.71,4.29,18.39,ARIMA
2018-11-04,1,67.0,64.1,2.9,8.4,ARIMA
2018-11-04,2,73.0,63.69,9.31,86.61,ARIMA
2018-11-04,3,78.0,63.51,14.49,210.04,ARIMA
2018-11-04,4,84.0,63.42,20.58,423.43,ARIMA
2018-11-18,1,78.0,75.73,2.27,5.17,ARIMA
2018-11-18,2,84.0,76.5,7.5,56.18,ARIMA
2018-11-18,3,88.0,76.73,11.27,127.08,ARIMA
2018-11-18,4,90.0,76.79,13.21,174.49,ARIMA
2018-12-02,1,88.0,87.14,0.86,0.75,ARIMA
2018-12-02,2,90.0,88.78,1.22,1.49,ARIMA
2018-12-02,3,92.0,89.64,2.36,5.59,ARIMA
2018-12-02,4,95.0,90.09,4.91,24.15,ARIMA
2018-12-16,1,92.0,91.08,0.92,0.84,ARIMA
2018-12-16,2,95.0,91.67,3.33,11.09,ARIMA
2018-12-16,3,94.0,91.99,2.01,4.05,ARIMA
2018-12-16,4,93.0,92.16,0.84,0.71,ARIMA
2018-12-30,1,94.0,96.64,2.64,6.96,ARIMA
2018-12-30,2,93.0,97.59,4.59,21.09,ARIMA
2018-12-30,3,92.0,98.15,6.15,37.81,ARIMA
2018-12-30,4,91.0,98.47,7.47,55.86,ARIMA
2019-01-13,1,92.0,92.47,0.47,0.22,ARIMA
2019-01-13,2,91.0,92.17,1.17,1.37,ARIMA
2019-01-13,3,91.0,92.01,1.01,1.02,ARIMA
2019-01-13,4,92.0,91.92,0.08,0.01,ARIMA
2019-01-27,1,91.0,90.46,0.54,0.29,ARIMA
2019-01-27,2,92.0,90.16,1.84,3.38,ARIMA
2019-01-27,3,95.0,90.0,5.0,25.03,ARIMA
2019-01-27,4,95.0,89.91,5.09,25.96,ARIMA
2019-02-10,1,95.0,92.52,2.48,6.14,ARIMA
2019-02-10,2,95.0,92.81,2.19,4.81,ARIMA
2019-02-10,3,95.0,92.96,2.04,4.15,ARIMA
2019-02-10,4,95.0,93.05,1.95,3.81,ARIMA
2019-02-24,1,95.0,95.03,0.03,0.0,ARIMA
2019-02-24,2,95.0,95.05,0.05,0.0,ARIMA
2019-02-24,3,97.0,95.05,1.95,3.79,ARIMA
2019-02-24,4,97.0,95.06,1.94,3.77,ARIMA
2019-03-10,1,97.0,95.0,2.0,4.0,ARIMA
2019-03-10,2,97.0,95.0,2.0,4.0,ARIMA
2019-03-10,3,97.0,95.0,2.0,4.0,ARIMA
2019-03-10,4,96.0,95.0,1.0,1.0,ARIMA
2019-03-24,1,97.0,97.03,0.03,0.0,ARIMA
2019-03-24,2,96.0,97.04,1.04,1.09,ARIMA
2019-03-24,3,96.0,97.05,1.05,1.11,ARIMA
2019-03-24,4,94.0,97.06,3.06,9.34,ARIMA
2019-04-07,1,96.0,95.49,0.51,0.26,ARIMA
2019-04-07,2,94.0,95.21,1.21,1.46,ARIMA
2019-04-07,3,92.0,95.06,3.06,9.34,ARIMA
2019-04-07,4,91.0,94.98,3.98,15.8,ARIMA
2019-04-21,1,92.0,92.98,0.98,0.96,ARIMA
2019-04-21,2,91.0,92.42,1.42,2.01,ARIMA
2019-04-21,3,90.0,92.11,2.11,4.44,ARIMA
2019-04-21,4,88.0,91.94,3.94,15.49,ARIMA
2019-05-05,1,90.0,90.45,0.45,0.2,ARIMA
2019-05-05,2,88.0,90.15,2.15,4.6,ARIMA
2019-05-05,3,87.0,89.98,2.98,8.87,ARIMA
2019-05-05,4,89.0,89.89,0.89,0.79,ARIMA
2019-05-19,1,87.0,86.95,0.05,0.0,ARIMA
2019-05-19,2,89.0,86.36,2.64,6.99,ARIMA
2019-05-19,3,91.0,86.02,4.98,24.75,ARIMA
2019-05-19,4,92.0,85.84,6.16,37.96,ARIMA
2019-06-02,1,91.0,90.03,0.97,0.95,ARIMA
2019-06-02,2,92.0,90.58,1.42,2.03,ARIMA
2019-06-02,3,92.0,90.87,1.13,1.28,ARIMA
2019-06-02,4,91.0,91.03,0.03,0.0,ARIMA
2019-06-16,1,92.0,92.53,0.53,0.28,ARIMA
2019-06-16,2,91.0,92.8,1.8,3.25,ARIMA
2019-06-16,3,90.0,92.95,2.95,8.7,ARIMA
2019-06-16,4,89.0,93.03,4.03,16.21,ARIMA
2019-06-30,1,90.0,90.47,0.47,0.22,ARIMA
2019-06-30,2,89.0,90.2,1.2,1.44,ARIMA
2019-06-30,3,87.0,90.06,3.06,9.36,ARIMA
2019-06-30,4,89.0,89.99,0.99,0.97,ARIMA
2019-07-14,1,87.0,88.48,1.48,2.18,ARIMA
2019-07-14,2,89.0,88.21,0.79,0.63,ARIMA
2019-07-14,3,89.0,88.07,0.93,0.87,ARIMA
2019-07-14,4,89.0,87.99,1.01,1.01,ARIMA
2019-07-28,1,89.0,90.05,1.05,1.1,ARIMA
2019-07-28,2,89.0,90.59,1.59,2.52,ARIMA
2019-07-28,3,93.0,90.86,2.14,4.56,ARIMA
2019-07-28,4,94.0,91.01,2.99,8.96,ARIMA
2019-08-11,1,93.0,89.0,4.0,16.0,ARIMA
2019-08-11,2,94.0,89.0,5.0,25.0,ARIMA
2019-08-11,3,95.0,89.0,6.0,35.99,ARIMA
2019-08-11,4,96.0,89.0,7.0,48.99,ARIMA
2019-08-25,1,95.0,94.57,0.43,0.18,ARIMA
2019-08-25,2,96.0,94.88,1.12,1.26,ARIMA
2019-08-25,3,97.0,95.04,1.96,3.84,ARIMA
2019-08-25,4,97.0,95.13,1.87,3.5,ARIMA
2019-09-08,1,97.0,96.52,0.48,0.23,ARIMA
2019-09-08,2,97.0,96.81,0.19,0.04,ARIMA
2019-09-08,3,98.0,96.97,1.03,1.07,ARIMA
2019-09-08,4,99.0,97.05,1.95,3.8,ARIMA
2019-09-22,1,98.0,97.03,0.97,0.95,ARIMA
2019-09-22,2,99.0,97.04,1.96,3.85,ARIMA
2019-09-22,3,99.0,97.05,1.95,3.82,ARIMA
2019-09-22,4,99.0,97.05,1.95,3.8,ARIMA
2019-10-06,1,99.0,99.52,0.52,0.27,ARIMA
2019-10-06,2,99.0,99.81,0.81,0.66,ARIMA
2019-10-06,3,99.0,99.97,0.97,0.94,ARIMA
2019-10-06,4,98.0,100.06,2.06,4.24,ARIMA
2019-10-20,1,99.0,99.0,0.0,0.0,ARIMA
2019-10-20,2,98.0,99.0,1.0,1.0,ARIMA
2019-10-20,3,99.0,99.0,0.0,0.0,ARIMA
2019-10-20,4,99.0,99.0,0.0,0.0,ARIMA
2019-11-03,1,99.0,97.5,1.5,2.24,ARIMA
2019-11-03,2,99.0,97.23,1.77,3.13,ARIMA
2019-11-03,3,99.0,97.08,1.92,3.68,ARIMA
2019-11-03,4,99.0,97.0,2.0,4.01,ARIMA
2019-11-17,1,99.0,99.03,0.03,0.0,ARIMA
2019-11-17,2,99.0,99.04,0.04,0.0,ARIMA
2019-11-17,3,99.0,99.05,0.05,0.0,ARIMA
2019-11-17,4,100.0,99.06,0.94,0.89,ARIMA
2019-12-01,1,99.0,99.0,0.0,0.0,ARIMA
2019-12-01,2,100.0,99.0,1.0,1.0,ARIMA
2019-12-01,3,100.0,99.0,1.0,1.0,ARIMA
2019-12-01,4,100.0,99.0,1.0,1.0,ARIMA
2019-12-15,1,100.0,100.49,0.49,0.24,ARIMA
2019-12-15,2,100.0,100.76,0.76,0.58,ARIMA
2019-12-15,3,100.0,100.91,0.91,0.83,ARIMA
2019-12-15,4,100.0,101.0,1.0,0.99,ARIMA
2019-12-29,1,100.0,100.0,0.0,0.0,ARIMA
2019-12-29,2,100.0,100.0,0.0,0.0,ARIMA
2019-12-29,3,100.0,100.0,0.0,0.0,ARIMA
2019-12-29,4,100.0,100.0,0.0,0.0,ARIMA
2020-01-12,1,100.0,100.0,0.0,0.0,ARIMA
2020-01-12,2,100.0,100.0,0.0,0.0,ARIMA
2020-01-12,3,100.0,100.0,0.0,0.0,ARIMA
2020-01-12,4,100.0,100.0,0.0,0.0,ARIMA
2020-01-26,1,100.0,100.0,0.0,0.0,ARIMA
2020-01-26,2,100.0,100.0,0.0,0.0,ARIMA
2020-01-26,3,100.0,100.0,0.0,0.0,ARIMA
2020-01-26,4,100.0,100.0,0.0,0.0,ARIMA
