origin,h,y_true,y_pred,abs_err,squared_err,model
2017-01-01,1,90.0,85.76,4.24,18.0,LSTM
2017-01-01,2,90.0,85.44,4.56,20.8,LSTM
2017-01-01,3,90.0,85.75,4.25,18.1,LSTM
2017-01-01,4,89.0,85.71,3.29,10.81,LSTM
2017-01-15,1,90.0,86.44,3.56,12.71,LSTM
2017-01-15,2,89.0,86.93,2.07,4.28,LSTM
2017-01-15,3,88.0,86.42,1.58,2.49,LSTM
2017-01-15,4,90.0,86.66,3.34,11.18,LSTM
2017-01-29,1,88.0,87.23,0.77,0.59,LSTM
2017-01-29,2,90.0,87.71,2.29,5.24,LSTM
2017-01-29,3,91.0,87.33,3.67,13.47,LSTM
2017-01-29,4,92.0,87.37,4.63,21.4,LSTM
2017-02-12,1,91.0,87.79,3.21,10.3,LSTM
2017-02-12,2,92.0,88.04,3.96,15.68,LSTM
2017-02-12,3,96.0,87.27,8.73,76.21,LSTM
2017-02-12,4,97.0,87.88,9.12,83.2,LSTM
2017-02-26,1,96.0,89.04,6.96,48.5,LSTM
2017-02-26,2,97.0,89.35,7.65,58.58,LSTM
2017-02-26,3,97.0,90.58,6.42,41.16,LSTM
2017-02-26,4,97.0,89.41,7.59,57.67,LSTM
2017-03-12,1,97.0,91.72,5.28,27.88,LSTM
2017-03-12,2,97.0,93.13,3.87,15.0,LSTM
2017-03-12,3,97.0,92.76,4.24,17.97,LSTM
2017-03-12,4,97.0,92.93,4.07,16.59,LSTM
2017-03-26,1,97.0,94.03,2.97,8.81,LSTM
2017-03-26,2,97.0,94.5,2.5,6.25,LSTM
2017-03-26,3,95.0,95.03,0.03,0.0,LSTM
2017-03-26,4,93.0,95.34,2.34,5.49,LSTM
2017-04-09,1,95.0,95.22,0.22,0.05,LSTM
2017-04-09,2,93.0,96.08,3.08,9.46,LSTM
2017-04-09,3,91.0,96.5,5.5,30.21,LSTM
2017-04-09,4,89.0,96.71,7.71,59.38,LSTM
2017-04-23,1,91.0,96.51,5.51,30.31,LSTM
2017-04-23,2,89.0,96.74,7.74,59.87,LSTM
2017-04-23,3,87.0,96.84,9.84,96.78,LSTM
2017-04-23,4,85.0,97.15,12.15,147.59,LSTM
2017-05-07,1,87.0,95.6,8.6,73.9,LSTM
2017-05-07,2,85.0,94.68,9.68,93.7,LSTM
2017-05-07,3,83.0,95.09,12.09,146.2,LSTM
2017-05-07,4,81.0,95.9,14.9,222.01,LSTM
2017-05-21,1,83.0,88.49,5.49,30.16,LSTM
2017-05-21,2,81.0,88.14,7.14,50.96,LSTM
2017-05-21,3,83.0,88.25,5.25,27.51,LSTM
2017-05-21,4,87.0,88.34,1.34,1.8,LSTM
2017-06-04,1,83.0,85.84,2.84,8.08,LSTM
2017-06-04,2,87.0,89.03,2.03,4.13,LSTM
2017-06-04,3,85.0,85.5,0.5,0.25,LSTM
2017-06-04,4,83.0,86.75,3.75,14.09,LSTM
2017-06-18,1,85.0,85.39,0.39,0.16,LSTM
2017-06-18,2,83.0,85.72,2.72,7.41,LSTM
2017-06-18,3,83.0,86.98,3.98,15.84,LSTM
2017-06-18,4,81.0,86.96,5.96,35.47,LSTM
2017-07-02,1,83.0,86.94,3.94,15.56,LSTM
2017-07-02,2,81.0,86.27,5.27,27.75,LSTM
2017-07-02,3,79.0,86.16,7.16,51.2,LSTM
2017-07-02,4,78.0,86.24,8.24,67.92,LSTM
2017-07-16,1,79.0,85.9,6.9,47.58,LSTM
2017-07-16,2,78.0,85.58,7.58,57.46,LSTM
2017-07-16,3,78.0,84.32,6.32,39.9,LSTM
2017-07-16,4,79.0,84.31,5.31,28.19,LSTM
2017-07-30,1,78.0,84.19,6.19,38.28,LSTM
2017-07-30,2,79.0,83.43,4.43,19.64,LSTM
2017-07-30,3,80.0,83.12,3.12,9.75,LSTM
2017-07-30,4,81.0,83.96,2.96,8.74,LSTM
2017-08-13,1,80.0,84.44,4.44,19.75,LSTM
2017-08-13,2,81.0,82.11,1.11,1.24,LSTM
2017-08-13,3,80.0,82.43,2.43,5.89,LSTM
2017-08-13,4,79.0,83.35,4.35,18.92,LSTM
2017-08-27,1,80.0,82.62,2.62,6.85,LSTM
2017-08-27,2,79.0,82.78,3.78,14.32,LSTM
2017-08-27,3,80.0,81.56,1.56,2.43,LSTM
2017-08-27,4,79.0,82.45,3.45,11.89,LSTM
2017-09-10,1,80.0,81.59,1.59,2.53,LSTM
2017-09-10,2,79.0,81.7,2.7,7.3,LSTM
2017-09-10,3,82.0,81.05,0.95,0.91,LSTM
2017-09-10,4,85.0,80.96,4.04,16.29,LSTM
2017-09-24,1,82.0,80.23,1.77,3.12,LSTM
2017-09-24,2,85.0,80.35,4.65,21.65,LSTM
2017-09-24,3,85.0,80.95,4.05,16.44,LSTM
2017-09-24,4,87.0,80.73,6.27,39.36,LSTM
2017-10-08,1,85.0,81.07,3.93,15.44,LSTM
2017-10-08,2,87.0,80.88,6.12,37.47,LSTM
2017-10-08,3,88.0,81.68,6.32,39.95,LSTM
2017-10-08,4,87.0,82.25,4.75,22.59,LSTM
2017-10-22,1,88.0,81.46,6.54,42.78,LSTM
2017-10-22,2,87.0,82.13,4.87,23.7,LSTM
2017-10-22,3,86.0,80.71,5.29,27.95,LSTM
2017-10-22,4,85.0,80.87,4.13,17.07,LSTM
2017-11-05,1,86.0,81.25,4.75,22.6,LSTM
2017-11-05,2,85.0,82.98,2.02,4.07,LSTM
2017-11-05,3,85.0,81.52,3.48,12.13,LSTM
2017-11-05,4,85.0,82.01,2.99,8.94,LSTM
2017-11-19,1,85.0,81.64,3.36,11.28,LSTM
2017-11-19,2,85.0,81.24,3.76,14.16,LSTM
2017-11-19,3,85.0,82.65,2.35,5.5,LSTM
2017-11-19,4,85.0,82.76,2.24,5.01,LSTM
2017-12-03,1,85.0,82.14,2.86,8.17,LSTM
2017-12-03,2,85.0,82.93,2.07,4.31,LSTM
2017-12-03,3,84.0,82.07,1.93,3.74,LSTM
2017-12-03,4,84.0,82.88,1.12,1.25,LSTM
2017-12-17,1,84.0,82.2,1.8,3.23,LSTM
2017-12-17,2,84.0,82.39,1.61,2.6,LSTM
2017-12-17,3,85.0,82.26,2.74,7.53,LSTM
2017-12-17,4,86.0,83.99,2.01,4.06,LSTM
2017-12-31,1,85.0,83.52,1.48,2.19,LSTM
2017-12-31,2,86.0,83.12,2.88,8.27,LSTM
2017-12-31,3,86.0,83.97,2.03,4.13,LSTM
2017-12-31,4,87.0,83.07,3.93,15.48,LSTM
2018-01-14,1,86.0,82.72,3.28,10.77,LSTM
2018-01-14,2,87.0,82.8,4.2,17.65,LSTM
2018-01-14,3,87.0,83.6,3.4,11.58,LSTM
2018-01-14,4,87.0,84.86,2.14,4.56,LSTM
2018-01-28,1,87.0,84.59,2.41,5.79,LSTM
2018-01-28,2,87.0,83.23,3.77,14.18,LSTM
2018-01-28,3,87.0,85.75,1.25,1.56,LSTM
2018-01-28,4,87.0,85.64,1.36,1.84,LSTM
2018-02-11,1,87.0,85.91,1.09,1.18,LSTM
2018-02-11,2,87.0,83.75,3.25,10.58,LSTM
2018-02-11,3,87.0,85.98,1.02,1.04,LSTM
2018-02-11,4,87.0,84.64,2.36,5.57,LSTM
2018-02-25,1,87.0,84.98,2.02,4.09,LSTM
2018-02-25,2,87.0,85.09,1.91,3.64,LSTM
2018-02-25,3,90.0,86.27,3.73,13.94,LSTM
2018-02-25,4,91.0,86.41,4.59,21.09,LSTM
2018-03-11,1,90.0,86.7,3.3,10.87,LSTM
2018-03-11,2,91.0,86.88,4.12,17.01,LSTM
2018-03-11,3,95.0,86.8,8.2,67.25,LSTM
2018-03-11,4,95.0,87.13,7.87,61.89,LSTM
2018-03-25,1,95.0,88.86,6.14,37.74,LSTM
2018-03-25,2,95.0,89.06,5.94,35.3,LSTM
2018-03-25,3,96.0,89.57,6.43,41.38,LSTM
2018-03-25,4,96.0,89.3,6.7,44.93,LSTM
2018-04-08,1,96.0,90.82,5.18,26.8,LSTM
2018-04-08,2,96.0,90.95,5.05,25.52,LSTM
2018-04-08,3,95.0,90.34,4.66,21.74,LSTM
2018-04-08,4,93.0,90.5,2.5,6.25,LSTM
2018-04-22,1,95.0,92.4,2.6,6.74,LSTM
2018-04-22,2,93.0,94.28,1.28,1.64,LSTM
2018-04-22,3,92.0,92.53,0.53,0.28,LSTM
2018-04-22,4,91.0,94.7,3.7,13.7,LSTM
2018-05-06,1,92.0,94.47,2.47,6.12,LSTM
2018-05-06,2,91.0,94.32,3.32,11.01,LSTM
2018-05-06,3,89.0,94.76,5.76,33.15,LSTM
2018-05-06,4,87.0,96.52,9.52,90.56,LSTM
2018-05-20,1,89.0,93.52,4.52,20.4,LSTM
2018-05-20,2,87.0,93.88,6.88,47.29,LSTM
2018-05-20,3,85.0,94.52,9.52,90.62,LSTM
2018-05-20,4,82.0,95.86,13.86,191.97,LSTM
2018-06-03,1,85.0,93.73,8.73,76.16,LSTM
2018-06-03,2,82.0,92.03,10.03,100.66,LSTM
2018-06-03,3,81.0,92.46,11.46,131.25,LSTM
2018-06-03,4,79.0,91.37,12.37,153.02,LSTM
2018-06-17,1,81.0,85.75,4.75,22.53,LSTM
2018-06-17,2,79.0,84.55,5.55,30.75,LSTM
2018-06-17,3,76.0,84.76,8.76,76.79,LSTM
2018-06-17,4,73.0,83.97,10.97,120.24,LSTM
2018-07-01,1,76.0,82.72,6.72,45.1,LSTM
2018-07-01,2,73.0,82.09,9.09,82.57,LSTM
2018-07-01,3,72.0,83.09,11.09,122.9,LSTM
2018-07-01,4,69.0,81.46,12.46,155.33,LSTM
2018-07-15,1,72.0,79.44,7.44,55.42,LSTM
2018-07-15,2,69.0,80.15,11.15,124.23,LSTM
2018-07-15,3,68.0,82.65,14.65,214.74,LSTM
2018-07-15,4,67.0,82.66,15.66,245.13,LSTM
2018-07-29,1,68.0,80.7,12.7,161.37,LSTM
2018-07-29,2,67.0,80.77,13.77,189.53,LSTM
2018-07-29,3,66.0,79.67,13.67,186.78,LSTM
2018-07-29,4,65.0,79.5,14.5,210.16,LSTM
2018-08-12,1,66.0,76.83,10.83,117.19,LSTM
2018-08-12,2,65.0,77.66,12.66,160.29,LSTM
2018-08-12,3,63.0,75.22,12.22,149.39,LSTM
2018-08-12,4,61.0,75.96,14.96,223.79,LSTM
2018-08-26,1,63.0,74.92,11.92,142.12,LSTM
2018-08-26,2,61.0,74.98,13.98,195.35,LSTM
2018-08-26,3,62.0,71.17,9.17,84.04,LSTM
2018-08-26,4,64.0,73.35,9.35,87.34,LSTM
2018-09-09,1,62.0,71.98,9.98,99.68,LSTM
2018-09-09,2,64.0,72.03,8.03,64.47,LSTM
2018-09-09,3,65.0,71.63,6.63,43.95,LSTM
2018-09-09,4,64.0,71.29,7.29,53.08,LSTM
2018-09-23,1,65.0,68.42,3.42,11.68,LSTM
2018-09-23,2,64.0,69.46,5.46,29.79,LSTM
2018-09-23,3,65.0,69.79,4.79,22.95,LSTM
2018-09-23,4,67.0,69.35,2.35,5.51,LSTM
2018-10-07,1,65.0,67.36,2.36,5.59,LSTM
2018-10-07,2,67.0,68.33,1.33,1.78,LSTM
2018-10-07,3,67.0,69.74,2.74,7.49,LSTM
2018-10-07,4,65.0,69.4,4.4,19.37,LSTM
2018-10-21,1,67.0,68.44,1.44,2.08,LSTM
2018-10-21,2,65.0,67.5,2.5,6.24,LSTM
2018-10-21,3,67.0,70.14,3.14,9.86,LSTM
2018-10-21,4,73.0,71.74,1.26,1.58,LSTM
2018-11-04,1,67.0,68.0,1.0,1.01,LSTM
2018-11-04,2,73.0,69.74,3.26,10.61,LSTM
2018-11-04,3,78.0,70.71,7.29,53.22,LSTM
2018-11-04,4,84.0,71.68,12.32,151.78,LSTM
2018-11-18,1,78.0,69.97,8.03,64.55,LSTM
2018-11-18,2,84.0,69.41,14.59,213.01,LSTM
2018-11-18,3,88.0,70.38,17.62,310.41,LSTM
2018-11-18,4,90.0,71.14,18.86,355.75,LSTM
2018-12-02,1,88.0,71.88,16.12,259.81,LSTM
2018-12-02,2,90.0,73.39,16.61,275.83,LSTM
2018-12-02,3,92.0,75.1,16.9,285.46,LSTM
2018-12-02,4,95.0,74.56,20.44,417.65,LSTM
