origin,h,y_true,y_pred,abs_err,squared_err,model
2017-01-01,1,90.0,91.05,1.05,1.11,REGRESSION
2017-01-01,2,90.0,91.44,1.44,2.06,REGRESSION
2017-01-01,3,90.0,91.79,1.79,3.2,REGRESSION
2017-01-01,4,89.0,92.11,3.11,9.66,REGRESSION
2017-01-15,1,90.0,91.64,1.64,2.68,REGRESSION
2017-01-15,2,89.0,91.95,2.95,8.72,REGRESSION
2017-01-15,3,88.0,92.23,4.23,17.89,REGRESSION
2017-01-15,4,90.0,92.46,2.46,6.07,REGRESSION
2017-01-29,1,88.0,91.95,3.95,15.58,REGRESSION
2017-01-29,2,90.0,92.18,2.18,4.73,REGRESSION
2017-01-29,3,91.0,92.36,1.36,1.84,REGRESSION
2017-01-29,4,92.0,92.48,0.48,0.23,REGRESSION
2017-02-12,1,91.0,91.98,0.98,0.97,REGRESSION
2017-02-12,2,92.0,92.11,0.11,0.01,REGRESSION
2017-02-12,3,96.0,92.18,3.82,14.63,REGRESSION
2017-02-12,4,97.0,92.19,4.81,23.14,REGRESSION
2017-02-26,1,96.0,92.11,3.89,15.13,REGRESSION
2017-02-26,2,97.0,92.12,4.88,23.78,REGRESSION
2017-02-26,3,97.0,92.08,4.92,24.2,REGRESSION
2017-02-26,4,97.0,91.98,5.02,25.19,REGRESSION
2017-03-12,1,97.0,92.6,4.4,19.35,REGRESSION
2017-03-12,2,97.0,92.51,4.49,20.17,REGRESSION
2017-03-12,3,97.0,92.36,4.64,21.55,REGRESSION
2017-03-12,4,97.0,92.15,4.85,23.54,REGRESSION
2017-03-26,1,97.0,92.87,4.13,17.03,REGRESSION
2017-03-26,2,97.0,92.67,4.33,18.75,REGRESSION
2017-03-26,3,95.0,92.41,2.59,6.72,REGRESSION
2017-03-26,4,93.0,92.09,0.91,0.83,REGRESSION
2017-04-09,1,95.0,92.88,2.12,4.47,REGRESSION
2017-04-09,2,93.0,92.57,0.43,0.18,REGRESSION
2017-04-09,3,91.0,92.2,1.2,1.45,REGRESSION
2017-04-09,4,89.0,91.78,2.78,7.74,REGRESSION
2017-04-23,1,91.0,92.34,1.34,1.79,REGRESSION
2017-04-23,2,89.0,91.92,2.92,8.53,REGRESSION
2017-04-23,3,87.0,91.45,4.45,19.84,REGRESSION
2017-04-23,4,85.0,90.95,5.95,35.36,REGRESSION
2017-05-07,1,87.0,91.23,4.23,17.89,REGRESSION
2017-05-07,2,85.0,90.72,5.72,32.72,REGRESSION
2017-05-07,3,83.0,90.18,7.18,51.51,REGRESSION
2017-05-07,4,81.0,89.61,8.61,74.07,REGRESSION
2017-05-21,1,83.0,89.68,6.68,44.56,REGRESSION
2017-05-21,2,81.0,89.1,8.1,65.65,REGRESSION
2017-05-21,3,83.0,88.51,5.51,30.38,REGRESSION
2017-05-21,4,87.0,87.91,0.91,0.83,REGRESSION
2017-06-04,1,83.0,87.8,4.8,23.03,REGRESSION
2017-06-04,2,87.0,87.2,0.2,0.04,REGRESSION
2017-06-04,3,85.0,86.59,1.59,2.54,REGRESSION
2017-06-04,4,83.0,86.0,3.0,9.0,REGRESSION
2017-06-18,1,85.0,86.36,1.36,1.86,REGRESSION
2017-06-18,2,83.0,85.77,2.77,7.68,REGRESSION
2017-06-18,3,83.0,85.19,2.19,4.82,REGRESSION
2017-06-18,4,81.0,84.64,3.64,13.27,REGRESSION
2017-07-02,1,83.0,85.01,2.01,4.04,REGRESSION
2017-07-02,2,81.0,84.46,3.46,11.95,REGRESSION
2017-07-02,3,79.0,83.94,4.94,24.36,REGRESSION
2017-07-02,4,78.0,83.45,5.45,29.73,REGRESSION
2017-07-16,1,79.0,83.7,4.7,22.1,REGRESSION
2017-07-16,2,78.0,83.22,5.22,27.22,REGRESSION
2017-07-16,3,78.0,82.78,4.78,22.83,REGRESSION
2017-07-16,4,79.0,82.39,3.39,11.48,REGRESSION
2017-07-30,1,78.0,82.36,4.36,19.05,REGRESSION
2017-07-30,2,79.0,81.97,2.97,8.84,REGRESSION
2017-07-30,3,80.0,81.64,1.64,2.69,REGRESSION
2017-07-30,4,81.0,81.36,0.36,0.13,REGRESSION
2017-08-13,1,80.0,81.34,1.34,1.8,REGRESSION
2017-08-13,2,81.0,81.06,0.06,0.0,REGRESSION
2017-08-13,3,80.0,80.85,0.85,0.72,REGRESSION
2017-08-13,4,79.0,80.7,1.7,2.9,REGRESSION
2017-08-27,1,80.0,80.8,0.8,0.63,REGRESSION
2017-08-27,2,79.0,80.65,1.65,2.72,REGRESSION
2017-08-27,3,80.0,80.57,0.57,0.32,REGRESSION
2017-08-27,4,79.0,80.55,1.55,2.41,REGRESSION
2017-09-10,1,80.0,80.47,0.47,0.22,REGRESSION
2017-09-10,2,79.0,80.45,1.45,2.11,REGRESSION
2017-09-10,3,82.0,80.5,1.5,2.24,REGRESSION
2017-09-10,4,85.0,80.62,4.38,19.22,REGRESSION
2017-09-24,1,82.0,80.43,1.57,2.48,REGRESSION
2017-09-24,2,85.0,80.54,4.46,19.9,REGRESSION
2017-09-24,3,85.0,80.71,4.29,18.39,REGRESSION
2017-09-24,4,87.0,80.94,6.06,36.72,REGRESSION
2017-10-08,1,85.0,80.95,4.05,16.4,REGRESSION
