origin,h,y_true,y_pred,abs_err,squared_err,model
2017-01-01,1,87.0,86.17,0.83,0.69,ARIMA
2017-01-01,2,89.0,86.31,2.69,7.24,ARIMA
2017-01-01,3,90.0,86.43,3.57,12.77,ARIMA
2017-01-01,4,93.0,86.52,6.48,41.93,ARIMA
2017-01-15,1,90.0,89.58,0.42,0.18,ARIMA
2017-01-15,2,93.0,90.07,2.93,8.61,ARIMA
2017-01-15,3,92.0,90.47,1.53,2.33,ARIMA
2017-01-15,4,92.0,90.81,1.19,1.41,ARIMA
2017-01-29,1,92.0,94.02,2.02,4.08,ARIMA
2017-01-29,2,92.0,94.89,2.89,8.34,ARIMA
2017-01-29,3,91.0,95.62,4.62,21.38,ARIMA
2017-01-29,4,92.0,96.25,4.25,18.06,ARIMA
2017-02-12,1,91.0,92.26,1.26,1.6,ARIMA
2017-02-12,2,92.0,92.49,0.49,0.24,ARIMA
2017-02-12,3,93.0,92.67,0.33,0.11,ARIMA
2017-02-12,4,94.0,92.82,1.18,1.39,ARIMA
2017-02-26,1,93.0,92.17,0.83,0.68,ARIMA
2017-02-26,2,94.0,92.32,1.68,2.83,ARIMA
2017-02-26,3,95.0,92.44,2.56,6.56,ARIMA
2017-02-26,4,96.0,92.54,3.46,11.98,ARIMA
2017-03-12,1,95.0,94.38,0.62,0.38,ARIMA
2017-03-12,2,96.0,94.7,1.3,1.68,ARIMA
2017-03-12,3,96.0,94.97,1.03,1.05,ARIMA
2017-03-12,4,96.0,95.2,0.8,0.64,ARIMA
2017-03-26,1,96.0,96.48,0.48,0.23,ARIMA
2017-03-26,2,96.0,96.89,0.89,0.79,ARIMA
2017-03-26,3,96.0,97.23,1.23,1.51,ARIMA
2017-03-26,4,94.0,97.51,3.51,12.35,ARIMA
2017-04-09,1,96.0,96.2,0.2,0.04,ARIMA
2017-04-09,2,94.0,96.37,2.37,5.61,ARIMA
2017-04-09,3,94.0,96.51,2.51,6.29,ARIMA
2017-04-09,4,94.0,96.63,2.63,6.9,ARIMA
2017-04-23,1,94.0,93.7,0.3,0.09,ARIMA
2017-04-23,2,94.0,93.45,0.55,0.31,ARIMA
2017-04-23,3,91.0,93.24,2.24,5.01,ARIMA
2017-04-23,4,90.0,93.07,3.07,9.4,ARIMA
2017-05-07,1,91.0,93.88,2.88,8.28,ARIMA
2017-05-07,2,90.0,93.78,3.78,14.27,ARIMA
2017-05-07,3,87.0,93.69,6.69,44.8,ARIMA
2017-05-07,4,86.0,93.62,7.62,58.13,ARIMA
2017-05-21,1,87.0,89.38,2.38,5.68,ARIMA
2017-05-21,2,86.0,88.87,2.87,8.25,ARIMA
2017-05-21,3,88.0,88.45,0.45,0.2,ARIMA
2017-05-21,4,93.0,88.1,4.9,24.04,ARIMA
2017-06-04,1,88.0,85.14,2.86,8.2,ARIMA
2017-06-04,2,93.0,84.41,8.59,73.76,ARIMA
2017-06-04,3,92.0,83.8,8.2,67.17,ARIMA
2017-06-04,4,90.0,83.29,6.71,44.96,ARIMA
2017-06-18,1,92.0,94.16,2.16,4.68,ARIMA
2017-06-18,2,90.0,95.02,5.02,25.22,ARIMA
2017-06-18,3,90.0,95.66,5.66,31.99,ARIMA
2017-06-18,4,89.0,96.12,7.12,50.76,ARIMA
2017-07-02,1,90.0,89.84,0.16,0.03,ARIMA
2017-07-02,2,89.0,89.72,0.72,0.52,ARIMA
2017-07-02,3,87.0,89.63,2.63,6.89,ARIMA
2017-07-02,4,86.0,89.55,3.55,12.63,ARIMA
2017-07-16,1,87.0,88.77,1.77,3.12,ARIMA
2017-07-16,2,86.0,88.59,2.59,6.7,ARIMA
2017-07-16,3,86.0,88.45,2.45,6.02,ARIMA
2017-07-16,4,88.0,88.35,0.35,0.12,ARIMA
2017-07-30,1,86.0,85.52,0.48,0.23,ARIMA
2017-07-30,2,88.0,85.15,2.85,8.12,ARIMA
2017-07-30,3,86.0,84.87,1.13,1.27,ARIMA
2017-07-30,4,88.0,84.66,3.34,11.15,ARIMA
2017-08-13,1,86.0,88.23,2.23,4.98,ARIMA
2017-08-13,2,88.0,88.4,0.4,0.16,ARIMA
2017-08-13,3,87.0,88.53,1.53,2.33,ARIMA
2017-08-13,4,84.0,88.62,4.62,21.33,ARIMA
2017-08-27,1,87.0,88.19,1.19,1.42,ARIMA
2017-08-27,2,84.0,88.34,4.34,18.85,ARIMA
2017-08-27,3,86.0,88.45,2.45,6.02,ARIMA
2017-08-27,4,87.0,88.54,1.54,2.37,ARIMA
2017-09-10,1,86.0,83.49,2.51,6.3,ARIMA
2017-09-10,2,87.0,83.1,3.9,15.23,ARIMA
2017-09-10,3,88.0,82.79,5.21,27.09,ARIMA
2017-09-10,4,91.0,82.56,8.44,71.2,ARIMA
2017-09-24,1,88.0,87.14,0.86,0.73,ARIMA
2017-09-24,2,91.0,87.26,3.74,14.02,ARIMA
2017-09-24,3,91.0,87.34,3.66,13.39,ARIMA
2017-09-24,4,91.0,87.41,3.59,12.91,ARIMA
2017-10-08,1,91.0,91.63,0.63,0.4,ARIMA
2017-10-08,2,91.0,92.11,1.11,1.23,ARIMA
2017-10-08,3,92.0,92.47,0.47,0.22,ARIMA
2017-10-08,4,93.0,92.75,0.25,0.06,ARIMA
2017-10-22,1,92.0,91.22,0.78,0.6,ARIMA
2017-10-22,2,93.0,91.39,1.61,2.59,ARIMA
2017-10-22,3,93.0,91.52,1.48,2.19,ARIMA
2017-10-22,4,92.0,91.62,0.38,0.15,ARIMA
2017-11-05,1,93.0,93.34,0.34,0.11,ARIMA
2017-11-05,2,92.0,93.6,1.6,2.55,ARIMA
2017-11-05,3,93.0,93.79,0.79,0.63,ARIMA
2017-11-05,4,94.0,93.95,0.05,0.0,ARIMA
2017-11-19,1,93.0,91.97,1.03,1.07,ARIMA
2017-11-19,2,94.0,91.94,2.06,4.23,ARIMA
2017-11-19,3,96.0,91.92,4.08,16.62,ARIMA
2017-11-19,4,97.0,91.91,5.09,25.91,ARIMA
2017-12-03,1,96.0,94.23,1.77,3.12,ARIMA
2017-12-03,2,97.0,94.42,2.58,6.68,ARIMA
2017-12-03,3,98.0,94.55,3.45,11.87,ARIMA
2017-12-03,4,98.0,94.66,3.34,11.15,ARIMA
2017-12-17,1,98.0,97.44,0.56,0.31,ARIMA
2017-12-17,2,98.0,97.79,0.21,0.04,ARIMA
2017-12-17,3,98.0,98.06,0.06,0.0,ARIMA
2017-12-17,4,98.0,98.26,0.26,0.07,ARIMA
2017-12-31,1,98.0,98.27,0.27,0.07,ARIMA
2017-12-31,2,98.0,98.48,0.48,0.23,ARIMA
2017-12-31,3,98.0,98.64,0.64,0.41,ARIMA
2017-12-31,4,100.0,98.76,1.24,1.53,ARIMA
2018-01-14,1,98.0,98.1,0.1,0.01,ARIMA
2018-01-14,2,100.0,98.18,1.82,3.32,ARIMA
2018-01-14,3,100.0,98.24,1.76,3.11,ARIMA
2018-01-14,4,100.0,98.28,1.72,2.95,ARIMA
2018-01-28,1,100.0,100.35,0.35,0.12,ARIMA
2018-01-28,2,100.0,100.63,0.63,0.39,ARIMA
2018-01-28,3,100.0,100.84,0.84,0.71,ARIMA
2018-01-28,4,100.0,101.01,1.01,1.03,ARIMA
2018-02-11,1,100.0,100.14,0.14,0.02,ARIMA
2018-02-11,2,100.0,100.25,0.25,0.06,ARIMA
2018-02-11,3,100.0,100.33,0.33,0.11,ARIMA
2018-02-11,4,100.0,100.39,0.39,0.16,ARIMA
2018-02-25,1,100.0,100.05,0.05,0.0,ARIMA
2018-02-25,2,100.0,100.1,0.1,0.01,ARIMA
2018-02-25,3,100.0,100.13,0.13,0.02,ARIMA
2018-02-25,4,100.0,100.15,0.15,0.02,ARIMA
2018-03-11,1,100.0,100.02,0.02,0.0,ARIMA
2018-03-11,2,100.0,100.04,0.04,0.0,ARIMA
2018-03-11,3,99.0,100.05,1.05,1.1,ARIMA
2018-03-11,4,99.0,100.06,1.06,1.12,ARIMA
2018-03-25,1,99.0,100.01,1.01,1.02,ARIMA
2018-03-25,2,99.0,100.01,1.01,1.03,ARIMA
2018-03-25,3,99.0,100.02,1.02,1.04,ARIMA
2018-03-25,4,99.0,100.02,1.02,1.05,ARIMA
2018-04-08,1,99.0,98.91,0.09,0.01,ARIMA
2018-04-08,2,99.0,98.83,0.17,0.03,ARIMA
2018-04-08,3,99.0,98.78,0.22,0.05,ARIMA
2018-04-08,4,98.0,98.73,0.73,0.54,ARIMA
