origin,h,y_true,y_pred,abs_err,squared_err,model
2017-01-01,1,87.0,83.94,3.06,9.39,LSTM
2017-01-01,2,89.0,84.5,4.5,20.27,LSTM
2017-01-01,3,90.0,83.68,6.32,39.88,LSTM
2017-01-01,4,93.0,84.55,8.45,71.37,LSTM
2017-01-15,1,90.0,84.54,5.46,29.78,LSTM
2017-01-15,2,93.0,84.06,8.94,79.95,LSTM
2017-01-15,3,92.0,84.29,7.71,59.46,LSTM
2017-01-15,4,92.0,84.79,7.21,52.02,LSTM
2017-01-29,1,92.0,85.99,6.01,36.16,LSTM
2017-01-29,2,92.0,84.75,7.25,52.53,LSTM
2017-01-29,3,91.0,86.17,4.83,23.3,LSTM
2017-01-29,4,92.0,85.45,6.55,42.91,LSTM
2017-02-12,1,91.0,87.37,3.63,13.15,LSTM
2017-02-12,2,92.0,87.99,4.01,16.08,LSTM
2017-02-12,3,93.0,87.57,5.43,29.52,LSTM
2017-02-12,4,94.0,87.44,6.56,43.09,LSTM
2017-02-26,1,93.0,93.43,0.43,0.19,LSTM
2017-02-26,2,94.0,87.97,6.03,36.31,LSTM
2017-02-26,3,95.0,93.48,1.52,2.31,LSTM
2017-02-26,4,96.0,90.35,5.65,31.94,LSTM
2017-03-12,1,95.0,93.59,1.41,1.98,LSTM
2017-03-12,2,96.0,91.98,4.02,16.18,LSTM
2017-03-12,3,96.0,93.2,2.8,7.86,LSTM
2017-03-12,4,96.0,93.42,2.58,6.67,LSTM
2017-03-26,1,96.0,93.69,2.31,5.35,LSTM
2017-03-26,2,96.0,94.72,1.28,1.64,LSTM
2017-03-26,3,96.0,94.32,1.68,2.83,LSTM
2017-03-26,4,94.0,95.38,1.38,1.9,LSTM
2017-04-09,1,96.0,95.16,0.84,0.7,LSTM
2017-04-09,2,94.0,95.47,1.47,2.15,LSTM
2017-04-09,3,94.0,95.74,1.74,3.01,LSTM
2017-04-09,4,94.0,95.94,1.94,3.77,LSTM
2017-04-23,1,94.0,95.81,1.81,3.27,LSTM
2017-04-23,2,94.0,95.91,1.91,3.66,LSTM
2017-04-23,3,91.0,96.45,5.45,29.65,LSTM
2017-04-23,4,90.0,96.64,6.64,44.14,LSTM
2017-05-07,1,91.0,96.2,5.2,27.07,LSTM
2017-05-07,2,90.0,96.48,6.48,41.97,LSTM
2017-05-07,3,87.0,96.49,9.49,90.14,LSTM
2017-05-07,4,86.0,97.43,11.43,130.69,LSTM
2017-05-21,1,87.0,95.7,8.7,75.74,LSTM
2017-05-21,2,86.0,95.48,9.48,89.84,LSTM
2017-05-21,3,88.0,95.89,7.89,62.24,LSTM
2017-05-21,4,93.0,95.48,2.48,6.16,LSTM
2017-06-04,1,88.0,92.78,4.78,22.82,LSTM
2017-06-04,2,93.0,92.47,0.53,0.28,LSTM
2017-06-04,3,92.0,92.79,0.79,0.62,LSTM
2017-06-04,4,90.0,92.37,2.37,5.61,LSTM
2017-06-18,1,92.0,91.35,0.65,0.42,LSTM
2017-06-18,2,90.0,91.21,1.21,1.47,LSTM
2017-06-18,3,90.0,91.31,1.31,1.73,LSTM
2017-06-18,4,89.0,90.98,1.98,3.92,LSTM
2017-07-02,1,90.0,91.16,1.16,1.34,LSTM
2017-07-02,2,89.0,90.53,1.53,2.33,LSTM
2017-07-02,3,87.0,91.02,4.02,16.2,LSTM
2017-07-02,4,86.0,90.72,4.72,22.29,LSTM
2017-07-16,1,87.0,90.73,3.73,13.89,LSTM
2017-07-16,2,86.0,90.22,4.22,17.82,LSTM
2017-07-16,3,86.0,90.51,4.51,20.36,LSTM
2017-07-16,4,88.0,90.37,2.37,5.62,LSTM
2017-07-30,1,86.0,88.96,2.96,8.75,LSTM
2017-07-30,2,88.0,88.98,0.98,0.96,LSTM
2017-07-30,3,86.0,88.23,2.23,4.99,LSTM
2017-07-30,4,88.0,88.22,0.22,0.05,LSTM
2017-08-13,1,86.0,88.17,2.17,4.73,LSTM
2017-08-13,2,88.0,87.61,0.39,0.15,LSTM
2017-08-13,3,87.0,87.4,0.4,0.16,LSTM
2017-08-13,4,84.0,86.66,2.66,7.06,LSTM
2017-08-27,1,87.0,87.37,0.37,0.14,LSTM
2017-08-27,2,84.0,88.68,4.68,21.94,LSTM
2017-08-27,3,86.0,87.34,1.34,1.79,LSTM
2017-08-27,4,87.0,87.7,0.7,0.48,LSTM
2017-09-10,1,86.0,87.32,1.32,1.74,LSTM
2017-09-10,2,87.0,87.49,0.49,0.24,LSTM
2017-09-10,3,88.0,87.12,0.88,0.78,LSTM
2017-09-10,4,91.0,87.41,3.59,12.89,LSTM
2017-09-24,1,88.0,87.09,0.91,0.82,LSTM
2017-09-24,2,91.0,87.12,3.88,15.06,LSTM
2017-09-24,3,91.0,87.06,3.94,15.52,LSTM
2017-09-24,4,91.0,86.81,4.19,17.59,LSTM
2017-10-08,1,91.0,87.67,3.33,11.06,LSTM
2017-10-08,2,91.0,86.55,4.45,19.82,LSTM
2017-10-08,3,92.0,86.85,5.15,26.51,LSTM
2017-10-08,4,93.0,87.76,5.24,27.48,LSTM
2017-10-22,1,92.0,87.3,4.7,22.08,LSTM
2017-10-22,2,93.0,87.06,5.94,35.3,LSTM
2017-10-22,3,93.0,88.34,4.66,21.68,LSTM
2017-10-22,4,92.0,88.31,3.69,13.65,LSTM
2017-11-05,1,93.0,88.55,4.45,19.76,LSTM
2017-11-05,2,92.0,88.11,3.89,15.16,LSTM
2017-11-05,3,93.0,87.52,5.48,30.05,LSTM
2017-11-05,4,94.0,89.15,4.85,23.54,LSTM
2017-11-19,1,93.0,90.11,2.89,8.33,LSTM
2017-11-19,2,94.0,89.85,4.15,17.19,LSTM
2017-11-19,3,96.0,90.06,5.94,35.24,LSTM
2017-11-19,4,97.0,90.2,6.8,46.23,LSTM
2017-12-03,1,96.0,90.7,5.3,28.08,LSTM
2017-12-03,2,97.0,90.96,6.04,36.5,LSTM
2017-12-03,3,98.0,91.05,6.95,48.25,LSTM
2017-12-03,4,98.0,90.53,7.47,55.75,LSTM
2017-12-17,1,98.0,94.79,3.21,10.31,LSTM
2017-12-17,2,98.0,95.28,2.72,7.42,LSTM
2017-12-17,3,98.0,95.54,2.46,6.03,LSTM
2017-12-17,4,98.0,95.79,2.21,4.87,LSTM
2017-12-31,1,98.0,94.36,3.64,13.26,LSTM
2017-12-31,2,98.0,94.86,3.14,9.84,LSTM
2017-12-31,3,98.0,98.97,0.97,0.94,LSTM
2017-12-31,4,100.0,95.27,4.73,22.38,LSTM
2018-01-14,1,98.0,96.42,1.58,2.51,LSTM
2018-01-14,2,100.0,96.6,3.4,11.56,LSTM
2018-01-14,3,100.0,97.18,2.82,7.94,LSTM
2018-01-14,4,100.0,96.62,3.38,11.46,LSTM
2018-01-28,1,100.0,98.13,1.87,3.51,LSTM
