origin,h,y_true,y_pred,abs_err,squared_err,model
2017-01-01,1,87.0,90.13,3.13,9.81,REGRESSION
2017-01-01,2,89.0,90.96,1.96,3.85,REGRESSION
2017-01-01,3,90.0,91.8,1.8,3.22,REGRESSION
2017-01-01,4,93.0,92.62,0.38,0.15,REGRESSION
2017-01-15,1,90.0,91.48,1.48,2.2,REGRESSION
2017-01-15,2,93.0,92.3,0.7,0.49,REGRESSION
2017-01-15,3,92.0,93.09,1.09,1.19,REGRESSION
2017-01-15,4,92.0,93.85,1.85,3.42,REGRESSION
2017-01-29,1,92.0,93.05,1.05,1.09,REGRESSION
2017-01-29,2,92.0,93.8,1.8,3.25,REGRESSION
2017-01-29,3,91.0,94.51,3.51,12.35,REGRESSION
2017-01-29,4,92.0,95.17,3.17,10.04,REGRESSION
2017-02-12,1,91.0,94.34,3.34,11.16,REGRESSION
2017-02-12,2,92.0,94.99,2.99,8.95,REGRESSION
2017-02-12,3,93.0,95.57,2.57,6.63,REGRESSION
2017-02-12,4,94.0,96.08,2.08,4.34,REGRESSION
2017-02-26,1,93.0,95.19,2.19,4.81,REGRESSION
2017-02-26,2,94.0,95.7,1.7,2.88,REGRESSION
2017-02-26,3,95.0,96.12,1.12,1.24,REGRESSION
2017-02-26,4,96.0,96.45,0.45,0.2,REGRESSION
2017-03-12,1,95.0,95.89,0.89,0.78,REGRESSION
2017-03-12,2,96.0,96.21,0.21,0.05,REGRESSION
2017-03-12,3,96.0,96.45,0.45,0.2,REGRESSION
2017-03-12,4,96.0,96.58,0.58,0.34,REGRESSION
2017-03-26,1,96.0,96.38,0.38,0.15,REGRESSION
2017-03-26,2,96.0,96.52,0.52,0.27,REGRESSION
2017-03-26,3,96.0,96.56,0.56,0.31,REGRESSION
2017-03-26,4,94.0,96.49,2.49,6.21,REGRESSION
2017-04-09,1,96.0,96.51,0.51,0.26,REGRESSION
2017-04-09,2,94.0,96.44,2.44,5.96,REGRESSION
2017-04-09,3,94.0,96.28,2.28,5.18,REGRESSION
2017-04-09,4,94.0,96.01,2.01,4.04,REGRESSION
2017-04-23,1,94.0,96.11,2.11,4.47,REGRESSION
2017-04-23,2,94.0,95.85,1.85,3.41,REGRESSION
2017-04-23,3,91.0,95.49,4.49,20.12,REGRESSION
2017-04-23,4,90.0,95.03,5.03,25.34,REGRESSION
2017-05-07,1,91.0,95.28,4.28,18.3,REGRESSION
2017-05-07,2,90.0,94.82,4.82,23.28,REGRESSION
2017-05-07,3,87.0,94.29,7.29,53.11,REGRESSION
2017-05-07,4,86.0,93.67,7.67,58.89,REGRESSION
2017-05-21,1,87.0,93.83,6.83,46.64,REGRESSION
2017-05-21,2,86.0,93.21,7.21,52.03,REGRESSION
2017-05-21,3,88.0,92.53,4.53,20.53,REGRESSION
2017-05-21,4,93.0,91.79,1.21,1.46,REGRESSION
2017-06-04,1,88.0,91.85,3.85,14.85,REGRESSION
2017-06-04,2,93.0,91.11,1.89,3.57,REGRESSION
2017-06-04,3,92.0,90.33,1.67,2.8,REGRESSION
2017-06-04,4,90.0,89.51,0.49,0.24,REGRESSION
2017-06-18,1,92.0,90.24,1.76,3.11,REGRESSION
2017-06-18,2,90.0,89.42,0.58,0.34,REGRESSION
2017-06-18,3,90.0,88.58,1.42,2.02,REGRESSION
2017-06-18,4,89.0,87.73,1.27,1.62,REGRESSION
2017-07-02,1,90.0,88.68,1.32,1.74,REGRESSION
2017-07-02,2,89.0,87.83,1.17,1.37,REGRESSION
