origin,h,y_true,y_pred,abs_err,squared_err,model
2017-01-01,1,90.0,88.95,1.05,1.1,ARIMA
2017-01-01,2,90.0,89.56,0.44,0.19,ARIMA
2017-01-01,3,90.0,89.95,0.05,0.0,ARIMA
2017-01-01,4,90.0,90.2,0.2,0.04,ARIMA
2017-01-15,1,90.0,90.16,0.16,0.03,ARIMA
2017-01-15,2,90.0,90.26,0.26,0.07,ARIMA
2017-01-15,3,90.0,90.32,0.32,0.11,ARIMA
2017-01-15,4,91.0,90.36,0.64,0.4,ARIMA
2017-01-29,1,90.0,90.0,0.0,0.0,ARIMA
2017-01-29,2,91.0,90.01,0.99,0.99,ARIMA
2017-01-29,3,91.0,90.01,0.99,0.99,ARIMA
2017-01-29,4,91.0,90.01,0.99,0.99,ARIMA
2017-02-12,1,91.0,91.48,0.48,0.23,ARIMA
2017-02-12,2,91.0,91.78,0.78,0.61,ARIMA
2017-02-12,3,94.0,91.97,2.03,4.12,ARIMA
2017-02-12,4,95.0,92.09,2.91,8.49,ARIMA
2017-02-26,1,94.0,91.01,2.99,8.94,ARIMA
2017-02-26,2,95.0,91.02,3.98,15.87,ARIMA
2017-02-26,3,94.0,91.02,2.98,8.88,ARIMA
2017-02-26,4,95.0,91.02,3.98,15.82,ARIMA
2017-03-12,1,94.0,95.7,1.7,2.88,ARIMA
2017-03-12,2,95.0,96.14,1.14,1.29,ARIMA
2017-03-12,3,95.0,96.42,1.42,2.0,ARIMA
2017-03-12,4,95.0,96.59,1.59,2.53,ARIMA
2017-03-26,1,95.0,95.4,0.4,0.16,ARIMA
2017-03-26,2,95.0,95.66,0.66,0.43,ARIMA
2017-03-26,3,94.0,95.81,1.81,3.28,ARIMA
2017-03-26,4,92.0,95.91,3.91,15.28,ARIMA
2017-04-09,1,94.0,95.01,1.01,1.02,ARIMA
2017-04-09,2,92.0,95.02,3.02,9.11,ARIMA
2017-04-09,3,90.0,95.02,5.02,25.22,ARIMA
2017-04-09,4,87.0,95.02,8.02,64.39,ARIMA
2017-04-23,1,90.0,91.0,1.0,0.99,ARIMA
2017-04-23,2,87.0,90.37,3.37,11.39,ARIMA
2017-04-23,3,84.0,89.99,5.99,35.88,ARIMA
2017-04-23,4,83.0,89.75,6.75,45.6,ARIMA
2017-05-07,1,84.0,85.37,1.37,1.89,ARIMA
2017-05-07,2,83.0,84.33,1.33,1.78,ARIMA
2017-05-07,3,83.0,83.67,0.67,0.44,ARIMA
2017-05-07,4,81.0,83.24,2.24,5.01,ARIMA
2017-05-21,1,83.0,82.25,0.75,0.57,ARIMA
2017-05-21,2,81.0,81.76,0.76,0.58,ARIMA
2017-05-21,3,84.0,81.45,2.55,6.52,ARIMA
2017-05-21,4,88.0,81.25,6.75,45.62,ARIMA
2017-06-04,1,84.0,80.01,3.99,15.9,ARIMA
2017-06-04,2,88.0,79.37,8.63,74.45,ARIMA
2017-06-04,3,88.0,78.95,9.05,81.82,ARIMA
2017-06-04,4,87.0,78.68,8.32,69.16,ARIMA
2017-06-18,1,88.0,90.15,2.15,4.63,ARIMA
2017-06-18,2,87.0,91.46,4.46,19.92,ARIMA
2017-06-18,3,88.0,92.26,4.26,18.16,ARIMA
2017-06-18,4,87.0,92.75,5.75,33.04,ARIMA
2017-07-02,1,88.0,86.51,1.49,2.21,ARIMA
2017-07-02,2,87.0,86.25,0.75,0.57,ARIMA
2017-07-02,3,86.0,86.1,0.1,0.01,ARIMA
2017-07-02,4,86.0,86.02,0.02,0.0,ARIMA
2017-07-16,1,86.0,86.57,0.57,0.33,ARIMA
2017-07-16,2,86.0,86.33,0.33,0.11,ARIMA
2017-07-16,3,87.0,86.19,0.81,0.66,ARIMA
2017-07-16,4,87.0,86.1,0.9,0.8,ARIMA
2017-07-30,1,87.0,85.95,1.05,1.1,ARIMA
2017-07-30,2,87.0,85.93,1.07,1.15,ARIMA
2017-07-30,3,88.0,85.91,2.09,4.37,ARIMA
2017-07-30,4,89.0,85.9,3.1,9.6,ARIMA
2017-08-13,1,88.0,87.04,0.96,0.92,ARIMA
2017-08-13,2,89.0,87.06,1.94,3.76,ARIMA
2017-08-13,3,89.0,87.07,1.93,3.71,ARIMA
2017-08-13,4,88.0,87.08,0.92,0.85,ARIMA
2017-08-27,1,89.0,89.52,0.52,0.27,ARIMA
2017-08-27,2,88.0,89.81,1.81,3.28,ARIMA
2017-08-27,3,89.0,89.98,0.98,0.95,ARIMA
2017-08-27,4,88.0,90.07,2.07,4.29,ARIMA
2017-09-10,1,89.0,87.52,1.48,2.18,ARIMA
2017-09-10,2,88.0,87.26,0.74,0.54,ARIMA
2017-09-10,3,89.0,87.12,1.88,3.54,ARIMA
2017-09-10,4,89.0,87.04,1.96,3.85,ARIMA
2017-09-24,1,89.0,87.59,1.41,2.0,ARIMA
2017-09-24,2,89.0,87.35,1.65,2.73,ARIMA
2017-09-24,3,91.0,87.21,3.79,14.34,ARIMA
2017-09-24,4,93.0,87.14,5.86,34.4,ARIMA
2017-10-08,1,91.0,89.05,1.95,3.79,ARIMA
2017-10-08,2,93.0,89.09,3.91,15.32,ARIMA
2017-10-08,3,93.0,89.1,3.9,15.18,ARIMA
2017-10-08,4,92.0,89.12,2.88,8.32,ARIMA
