origin,h,y_true,y_pred,abs_err,squared_err,model
2025-02-02,1,97.8,97.99,0.19,0.04,ARIMA
2025-02-02,2,96.6,98.14,1.54,2.36,ARIMA
2025-02-02,3,96.6,98.2,1.6,2.57,ARIMA
2025-02-02,4,96.0,98.23,2.23,4.99,ARIMA
2025-02-16,1,96.6,96.13,0.47,0.22,ARIMA
2025-02-16,2,96.0,95.91,0.09,0.01,ARIMA
2025-02-16,3,95.8,95.8,0.0,0.0,ARIMA
2025-02-16,4,94.6,95.75,1.15,1.32,ARIMA
2025-03-02,1,95.8,95.76,0.04,0.0,ARIMA
2025-03-02,2,94.6,95.65,1.05,1.09,ARIMA
2025-03-02,3,93.1,95.59,2.49,6.21,ARIMA
2025-03-02,4,90.9,95.57,4.67,21.77,ARIMA
2025-03-16,1,93.1,94.12,1.02,1.04,ARIMA
2025-03-16,2,90.9,93.89,2.99,8.93,ARIMA
2025-03-16,3,89.3,93.78,4.48,20.05,ARIMA
2025-03-16,4,88.1,93.73,5.63,31.65,ARIMA
2025-03-30,1,89.3,89.96,0.66,0.44,ARIMA
2025-03-30,2,88.1,89.5,1.4,1.97,ARIMA
2025-03-30,3,86.6,89.28,2.68,7.2,ARIMA
2025-03-30,4,85.5,89.18,3.68,13.51,ARIMA
2025-04-20,1,86.6,87.55,0.95,0.9,ARIMA
2025-04-20,2,85.5,87.28,1.78,3.16,ARIMA
2025-04-20,3,83.5,87.14,3.64,13.28,ARIMA
2025-04-20,4,81.7,87.08,5.38,28.93,ARIMA
2025-05-04,1,83.5,84.99,1.49,2.22,ARIMA
2025-05-04,2,81.7,84.73,3.03,9.21,ARIMA
2025-05-04,3,79.1,84.61,5.51,30.33,ARIMA
2025-05-04,4,76.5,84.54,8.04,64.7,ARIMA
2025-05-18,1,79.1,80.87,1.77,3.12,ARIMA
2025-05-18,2,76.5,80.44,3.94,15.54,ARIMA
2025-05-18,3,75.1,80.23,5.13,26.27,ARIMA
2025-05-18,4,74.7,80.11,5.41,29.32,ARIMA
2025-06-01,1,75.1,75.26,0.16,0.03,ARIMA
2025-06-01,2,74.7,74.6,0.1,0.01,ARIMA
2025-06-01,3,75.6,74.26,1.34,1.81,ARIMA
2025-06-01,4,73.5,74.07,0.57,0.33,ARIMA
2025-06-15,1,75.6,74.46,1.14,1.31,ARIMA
2025-06-15,2,73.5,74.33,0.83,0.68,ARIMA
2025-06-15,3,71.1,74.26,3.16,9.97,ARIMA
2025-06-15,4,68.5,74.22,5.72,32.74,ARIMA
2025-06-29,1,71.1,72.65,1.55,2.39,ARIMA
2025-06-29,2,68.5,72.2,3.7,13.67,ARIMA
2025-06-29,3,65.5,71.96,6.46,41.73,ARIMA
2025-06-29,4,63.3,71.84,8.54,72.86,ARIMA
2025-07-13,1,65.5,67.25,1.75,3.06,ARIMA
2025-07-13,2,63.3,66.58,3.28,10.77,ARIMA
2025-07-13,3,61.3,66.22,4.92,24.25,ARIMA
2025-07-13,4,58.7,66.03,7.33,53.77,ARIMA
2025-07-27,1,61.3,62.16,0.86,0.73,ARIMA
2025-07-27,2,58.7,61.52,2.82,7.98,ARIMA
2025-07-27,3,56.4,61.17,4.77,22.79,ARIMA
2025-07-27,4,53.6,60.98,7.38,54.47,ARIMA
