origin,h,y_true,y_pred,abs_err,squared_err,model
2025-02-02,1,97.8,96.68,1.12,1.26,LSTM
2025-02-02,2,96.6,97.47,0.87,0.77,LSTM
2025-02-02,3,96.6,98.48,1.88,3.54,LSTM
2025-02-02,4,96.0,98.18,2.18,4.75,LSTM
2025-02-16,1,96.6,98.52,1.92,3.7,LSTM
2025-02-16,2,96.0,99.55,3.55,12.58,LSTM
2025-02-16,3,95.8,98.38,2.58,6.64,LSTM
2025-02-16,4,94.6,99.81,5.21,27.13,LSTM
2025-03-02,1,95.8,99.77,3.97,15.76,LSTM
2025-03-02,2,94.6,99.03,4.43,19.67,LSTM
2025-03-02,3,93.1,99.51,6.41,41.12,LSTM
2025-03-02,4,90.9,99.59,8.69,75.49,LSTM
2025-03-16,1,93.1,99.67,6.57,43.12,LSTM
2025-03-16,2,90.9,98.51,7.61,57.86,LSTM
2025-03-16,3,89.3,99.49,10.19,103.76,LSTM
2025-03-16,4,88.1,99.34,11.24,126.38,LSTM
2025-03-30,1,89.3,98.5,9.2,84.56,LSTM
2025-03-30,2,88.1,98.92,10.82,117.02,LSTM
2025-03-30,3,86.6,98.58,11.98,143.62,LSTM
2025-03-30,4,85.5,98.77,13.27,176.08,LSTM
2025-04-20,1,86.6,96.48,9.88,97.61,LSTM
2025-04-20,2,85.5,95.95,10.45,109.2,LSTM
2025-04-20,3,83.5,94.65,11.15,124.38,LSTM
2025-04-20,4,81.7,95.34,13.64,186.14,LSTM
2025-05-04,1,83.5,92.06,8.56,73.26,LSTM
2025-05-04,2,81.7,92.66,10.96,120.15,LSTM
2025-05-04,3,79.1,92.49,13.39,179.2,LSTM
2025-05-04,4,76.5,93.35,16.85,283.78,LSTM
2025-05-18,1,79.1,90.3,11.2,125.33,LSTM
2025-05-18,2,76.5,88.14,11.64,135.6,LSTM
2025-05-18,3,75.1,87.74,12.64,159.89,LSTM
2025-05-18,4,74.7,87.89,13.19,173.86,LSTM
2025-06-01,1,75.1,81.94,6.84,46.82,LSTM
2025-06-01,2,74.7,80.77,6.07,36.89,LSTM
2025-06-01,3,75.6,78.77,3.17,10.05,LSTM
2025-06-01,4,73.5,79.66,6.16,37.95,LSTM
2025-06-15,1,75.6,81.76,6.16,37.9,LSTM
2025-06-15,2,73.5,81.75,8.25,68.01,LSTM
2025-06-15,3,71.1,81.2,10.1,101.93,LSTM
2025-06-15,4,68.5,77.93,9.43,88.98,LSTM
2025-06-29,1,71.1,78.38,7.28,53.02,LSTM
2025-06-29,2,68.5,79.16,10.66,113.67,LSTM
2025-06-29,3,65.5,77.93,12.43,154.48,LSTM
2025-06-29,4,63.3,79.58,16.28,265.09,LSTM
2025-07-13,1,65.5,76.21,10.71,114.72,LSTM
2025-07-13,2,63.3,77.65,14.35,205.86,LSTM
2025-07-13,3,61.3,76.4,15.1,228.11,LSTM
2025-07-13,4,58.7,75.49,16.79,281.84,LSTM
2025-07-27,1,61.3,71.22,9.92,98.47,LSTM
2025-07-27,2,58.7,74.27,15.57,242.35,LSTM
2025-07-27,3,56.4,71.88,15.48,239.48,LSTM
2025-07-27,4,53.6,74.61,21.01,441.62,LSTM
