origin,h,y_true,y_pred,abs_err,squared_err,model
2025-02-02,1,97.8,98.35,0.55,0.31,REGRESSION
2025-02-02,2,96.6,98.94,2.34,5.45,REGRESSION
2025-02-02,3,96.6,99.39,2.79,7.79,REGRESSION
2025-02-02,4,96.0,99.71,3.71,13.8,REGRESSION
2025-02-16,1,96.6,99.21,2.61,6.82,REGRESSION
2025-02-16,2,96.0,99.53,3.53,12.47,REGRESSION
2025-02-16,3,95.8,99.72,3.92,15.33,REGRESSION
2025-02-16,4,94.6,99.76,5.16,26.64,REGRESSION
2025-03-02,1,95.8,99.34,3.54,12.52,REGRESSION
2025-03-02,2,94.6,99.38,4.78,22.82,REGRESSION
2025-03-02,3,93.1,99.28,6.18,38.17,REGRESSION
2025-03-02,4,90.9,99.05,8.15,66.36,REGRESSION
2025-03-16,1,93.1,98.77,5.67,32.17,REGRESSION
2025-03-16,2,90.9,98.53,7.63,58.2,REGRESSION
2025-03-16,3,89.3,98.16,8.86,78.47,REGRESSION
2025-03-16,4,88.1,97.66,9.56,91.49,REGRESSION
2025-03-30,1,89.3,97.36,8.06,64.9,REGRESSION
2025-03-30,2,88.1,96.85,8.75,76.53,REGRESSION
2025-03-30,3,86.6,96.23,9.63,92.72,REGRESSION
2025-03-30,4,85.5,95.51,10.01,100.17,REGRESSION
2025-04-20,1,86.6,95.23,8.63,74.54,REGRESSION
2025-04-20,2,85.5,94.5,9.0,80.95,REGRESSION
2025-04-20,3,83.5,93.67,10.17,103.51,REGRESSION
2025-04-20,4,81.7,92.78,11.08,122.69,REGRESSION
2025-05-04,1,83.5,92.65,9.15,83.76,REGRESSION
2025-05-04,2,81.7,91.74,10.04,100.82,REGRESSION
2025-05-04,3,79.1,90.77,11.67,136.28,REGRESSION
2025-05-04,4,76.5,89.76,13.26,175.95,REGRESSION
2025-05-18,1,79.1,89.69,10.59,112.19,REGRESSION
2025-05-18,2,76.5,88.67,12.17,148.12,REGRESSION
2025-05-18,3,75.1,87.63,12.53,156.93,REGRESSION
2025-05-18,4,74.7,86.58,11.88,141.06,REGRESSION
2025-06-01,1,75.1,86.39,11.29,127.37,REGRESSION
2025-06-01,2,74.7,85.32,10.62,112.87,REGRESSION
2025-06-01,3,75.6,84.28,8.68,75.29,REGRESSION
2025-06-01,4,73.5,83.26,9.76,95.24,REGRESSION
2025-06-15,1,75.6,83.13,7.53,56.67,REGRESSION
2025-06-15,2,73.5,82.1,8.6,74.01,REGRESSION
2025-06-15,3,71.1,81.13,10.03,100.53,REGRESSION
2025-06-15,4,68.5,80.21,11.71,137.21,REGRESSION
2025-06-29,1,71.1,80.31,9.21,84.9,REGRESSION
2025-06-29,2,68.5,79.4,10.9,118.74,REGRESSION
2025-06-29,3,65.5,78.56,13.06,170.56,REGRESSION
2025-06-29,4,63.3,77.81,14.51,210.65,REGRESSION
2025-07-13,1,65.5,77.59,12.09,146.15,REGRESSION
2025-07-13,2,63.3,76.84,13.54,183.32,REGRESSION
2025-07-13,3,61.3,76.2,14.9,221.9,REGRESSION
2025-07-13,4,58.7,75.67,16.97,287.92,REGRESSION
2025-07-27,1,61.3,75.01,13.71,188.0,REGRESSION
2025-07-27,2,58.7,74.48,15.78,248.98,REGRESSION
2025-07-27,3,56.4,74.07,17.67,312.39,REGRESSION
2025-07-27,4,53.6,73.8,20.2,408.16,REGRESSION
