station_name,date,value,quality
Amotherby,2025-05-16T10:16:00,15.37,Good
Aughton Cliffs Farm,2025-03-05T10:20:00,17.63,Good
Beenham,2024-12-17T09:36:00,52.855,Good
Berwick Bassett,2025-01-15T14:59:00,163.039,Good
Bessacar,2023-12-01T07:51:00,3.21,Good
Black Hall Farm,2025-04-15T09:33:00,105.77,Unchecked
Blackmore Farm,2025-03-19T12:08:00,113.94,Good
Blowing Stone Cottage,2025-05-28T10:39:00,112.39,Good
Bow Wow,2025-04-08T14:23:00,88.141,Good
Bowbridge,2024-10-14T13:04:00,83.05,Good
Brislands Lane,2025-03-25T10:18:00,93.1,Good
Burton Coggles,2022-07-26T09:00:00,50.37,Unchecked
Caldecote Farm,2025-04-03T09:19:00,7.37,Good
Challenge Farm,2024-07-26T16:00:00,70.58,Good
Chalton,2025-01-02T12:00:00,44.81,Good
Cocker Bridge,2023-10-25T12:00:00,5.23,Good
Cockley Cley Copse,2025-04-03T10:02:00,21.41,Good
Croxton Heath,2025-05-01T08:49:00,29.2,Unchecked
Crudwell,2025-05-19T13:11:00,84.75,Good
Cundall Sandstone,2025-03-19T13:43:00,16.6,Good
East Leake,2025-05-12T06:38:00,28.6,Unchecked
Fox Hall,2025-04-08T09:26:00,77.41,Unchecked
Frome,2025-04-23T10:13:00,55.05,Good
Grange Farm West Wratting,2025-05-08T09:39:00,66.05,Good
Hambleton,2025-05-15T11:00:00,4.98,Good
Hornsea,2025-05-20T14:09:00,15.08,Good
Hungerdowns Farm,2025-05-23T11:48:00,32.67,Good
Hursley,2024-12-19T13:00:00,41.82,Good
Hyde Cottages Risby,2025-05-01T10:43:00,28.42,Unchecked
Ingleby,2025-05-19T08:14:00,46.05,Unchecked
Isleham Fen,2025-03-18T12:18:00,-3.31,Suspect
Itteringham 2,2025-05-23T08:23:00,31.01,Good
Jackaments Bottom,2025-05-13T12:00:00,98.028,Good
Jevington,2025-01-02T13:30:00,37.61,Good
Kemps Drift,2025-05-29T07:56:00,11.47,Good
Lea Farm,2019-09-25T10:25:00,92.76,Unchecked
Lydeards Hill,2025-04-24T09:59:00,321.51,Good
Lynstead,2025-03-06T08:44:00,19.503,Good
Main Road Croxton,2025-05-01T12:48:00,12.96,Unchecked
Marlston Farm,2025-01-23T11:35:00,70.947,Good
Mayhouse Farm,2025-04-28T09:57:00,34.95,Unchecked
Mill Road,2025-05-01T06:28:00,18.4,Suspect
Myddlewood,2025-05-29T07:55:00,61.94,Unchecked
North Plantation,2025-05-12T10:30:00,65.94,Good
North Stoke,2025-05-20T14:03:00,3.758,Good
Old Hall,2025-05-22T10:12:00,38.98,Good
Old Mill Farm B,2025-03-10T09:54:00,12.927,Good
Old Mill Farm T,2025-03-10T09:54:00,12.98,Good
Pickworth,2025-05-13T10:04:00,24.05,Good
Pipe Green,2025-05-02T10:53:00,81.56,Unchecked
Pipstile Farm Uphampton,2024-12-17T09:46:00,62.85,Unchecked
Plucks Gutter,2025-03-11T09:15:00,1.26,Good
Ponyfield,2025-05-15T07:52:00,-1.24,Unchecked
Rats Pen Lane Chalk,2025-05-02T08:42:00,7.76,Good
Rowton,2025-04-14T06:37:00,60.73,Unchecked
Royalty Farm,2024-12-23T13:40:00,44.6,Good
Shawbury Park A,2025-02-19T09:20:00,64.76,Unchecked
Sherburn Quarry 3,2025-05-27T12:10:00,16.978,Good
Shortheath Pond,2024-10-04T09:41:00,74.341,Good
Slough Farm,2025-05-23T12:06:00,2.96,Good
Spoondell,2025-05-02T07:35:00,131.31,Good
Sproxton,2025-02-18T15:20:00,44.91,Good
Sutton Heath Road,2025-04-11T11:50:00,19.0,Good
Sutton Top Field Spinney,2025-04-15T09:40:00,15.41,Good
Thames Head,2025-05-07T11:26:00,98.88,Good
Tollgate,2025-03-04T08:09:00,10.94,Good
Trowley Bottom Farm,2025-05-02T09:22:00,109.37,Good
Upavaon Shallow,2025-04-25T10:14:00,90.44,Good
Upavon Deep,2025-04-25T10:12:00,90.85,Good
Walcot,2025-05-12T08:03:00,14.87,Good
Warnford Estate,2025-03-25T12:46:00,67.76,Good
Water Acre,2024-12-10T11:56:00,141.893,Good
West Cowick,2025-05-27T08:41:00,4.291,Good
Wested Farm,2025-03-10T08:47:00,43.97,Good
Whitworth Hall,2025-05-27T11:46:00,54.91,Good
Willow Tree Farm,2025-06-05T14:30:00,71.099,Good
Winchester Guildhall,2025-05-21T15:50:00,33.24,Good
Wood Mill Farm,2025-04-14T06:57:00,60.1,Unchecked
Wood Mill Farm,2025-04-14T06:55:00,63.5,Unchecked
Woore,2025-04-22T10:41:00,136.935,Unchecked
Wrelton Paddock,2025-05-20T11:01:00,-1118.45,Good
