station_name,date,value,quality
Sherburn Quarry 3,2023-06-26T11:12:00,16.998,Good
Whitworth Hall,2023-06-27T08:29:00,54.86,Good
Pipe Green,2023-06-27T14:07:00,81.32,Good
Black Hall Farm,2023-06-28T07:41:00,105.36,Good
Itteringham 2,2023-06-29T09:00:00,30.58,Good
Amotherby,2023-06-29T09:24:00,16.61,Good
Kemps Drift,2023-06-29T09:55:00,11.29,Good
Wrelton Paddock,2023-06-29T12:29:00,30.66,Good
Cundall Sandstone,2023-06-29T12:57:00,16.205,Good
Hungerdowns Farm,2023-06-29T14:30:00,32.45,Good
Slough Farm,2023-06-29T14:43:00,2.53,Good
Pipstile Farm Uphampton,2023-06-30T10:28:00,61.94,Unchecked
Bessacar,2023-07-03T07:30:00,2.89,Good
Sutton Heath Road,2023-07-03T08:03:00,18.83,Good
Croxton Heath,2023-07-03T11:52:00,27.36,Good
Mill Road,2023-07-03T12:46:00,18.05,Good
Thames Head,2023-07-04T09:03:00,99.11,Good
Sproxton,2023-07-04T10:10:00,44.242,Good
Tollgate,2023-07-04T12:30:00,10.34,Good
North Stoke,2023-07-04T13:33:00,4.108,Good
Trowley Bottom Farm,2023-07-04T15:18:00,107.87,Good
Spoondell,2023-07-05T08:25:00,126.6,Good
Old Mill Farm B,2023-07-05T11:30:00,12.677,Good
Old Mill Farm T,2023-07-05T11:33:00,12.77,Good
Rats Pen Lane Chalk,2023-07-06T05:44:00,7.57,Good
East Leake,2023-07-06T10:02:00,28.35,Good
Grange Farm West Wratting,2023-07-06T13:03:00,64.61,Good
Caldecote Farm,2023-07-07T09:05:00,7.045,Good
Cockley Cley Copse,2023-07-07T09:58:00,20.635,Good
Lynstead,2023-07-07T09:59:00,19.303,Good
Pickworth,2023-07-10T12:44:00,24.0,Good
Sutton Top Field Spinney,2023-07-12T10:08:00,15.02,Good
Plucks Gutter,2023-07-12T11:37:00,0.91,Good
Wested Farm,2023-07-13T13:08:00,42.32,Good
Walcot,2023-07-14T08:31:00,14.26,Good
Whitworth Hall,2023-07-14T11:02:00,54.84,Good
Blowing Stone Cottage,2023-07-17T11:59:00,111.98,Good
Lydeards Hill,2023-07-18T11:24:00,320.25,Good
Ingleby,2023-07-18T11:30:00,45.85,Unchecked
Ingleby,2023-07-18T12:30:00,45.85,Good
Frome,2023-07-20T07:18:00,54.84,Good
Winchester Guildhall,2023-07-20T09:55:00,33.23,Good
Upavon Deep,2023-07-20T11:12:00,90.7,Good
Upavaon Shallow,2023-07-20T11:16:00,91.41,Good
Black Hall Farm,2023-07-21T11:40:00,105.28,Good
Pipe Green,2023-07-24T06:00:00,80.42,Good
Itteringham 2,2023-07-25T07:44:00,30.24,Good
West Cowick,2023-07-25T08:59:00,5.281,Good
Amotherby,2023-07-25T09:01:00,16.49,Good
Old Hall,2023-07-25T10:33:00,38.32,Good
Wrelton Paddock,2023-07-25T11:56:00,30.54,Good
Cocker Bridge,2023-07-25T12:00:00,4.39,Good
Hornsea,2023-07-25T12:02:00,15.16,Good
Royalty Farm,2023-07-26T10:10:00,43.69,Good
Myddlewood,2023-07-27T08:00:00,61.24,Unchecked
Myddlewood,2023-07-27T09:00:00,61.24,Good
Crudwell,2023-07-28T08:00:00,85.61,Good
Hambleton,2023-07-28T12:07:00,5.065,Good
Sherburn Quarry 3,2023-07-28T13:09:00,17.018,Good
Hungerdowns Farm,2023-07-31T10:55:00,32.47,Good
Fox Hall,2023-08-02T10:37:00,76.96,Unchecked
Mill Road,2023-08-02T11:08:00,17.99,Good
Old Mill Farm B,2023-08-03T06:48:00,12.737,Good
Old Mill Farm T,2023-08-03T06:49:00,12.81,Good
Wested Farm,2023-08-03T06:56:00,42.7,Good
Pickworth,2023-08-03T08:25:00,23.81,Good
North Stoke,2023-08-03T09:00:00,0.628,Good
Walcot,2023-08-03T11:47:00,14.46,Good
Bowbridge,2023-08-03T11:47:00,82.87,Good
Crudwell,2023-08-04T07:45:00,85.08,Good
Marlston Farm,2023-08-04T09:39:00,69.77,Good
Kemps Drift,2023-08-04T12:50:00,11.42,Good
